Check this.	Sjáðu þetta.
This is Jill.	Þetta er Ýr.
This is my lady, Amy.	Þessi dama heitir Anný.
Little Suzie.	Sissa litla. Díana.
You know why we call her Briana?	Veistu af hverju hún heitir Díana?
No.	Nei.
It's a long story.	Það er löng saga.
Shaniqua.	Sigþóra.
Helga.	Helga.
I'm gonna say that one more time.	Ég ætla að segja þetta aftur.
Lia.	Lína.
Oh, yeah.	Ó, já.
That's a sweet, sweet lady.	Hún er ljúf stúlka.
Tank!	Tankur.
Are you polishing your trophies again?	Ertu enn að pússa bikarana?
Mom, I wasn't polishing. I was talking to my friends.	Nei, ég var að tala við vini mína.
I'm gonna be polishing later.	Ég ætla að pússa þá seinna.
When's he coming out?	Hvenær kemur hann út?
I'm running out of film.	Filman er að verða búin.
Mr. Topanga!	Herra Z!
Could you tell us why you're not dead? No!	Af hverju ertu ekki dáinn?
I am dead! I'm dead.	Ég er dáinn.
What are you doing?	Hvað ertu að gera?
Hey, who said you...	Hver sagði að þú...
Turn the board around.	Snúðu við.
Get back here.	Komdu þér í land.
Come out here and show me some moves.	Komdu og kenndu mér tökin.
No, no.	Nei.
Come on!	Komdu!
Grab a board and come out.	Náðu í bretti og komdu.
You want to kill yourself, go ahead.	Þú mátt drepa þig mín vegna.
Fine with me.	Hvort þú mátt.
How do you turn this thing?	Hvernig á að snúa við?
It's not a short board.	Þetta er ekki stutt bretti.
Sit back on it.	Sestu aftast.
Hey, watch the wave!	Nú kemur alda!
You mess up my board, I'm messing up your other foot.	Ef þú rústar brettinu rústa ég hinni löppinni á þér.
I'm just trying to ride this canoe or whatever it is, okay?	Ég er að reyna að sigla þessum kanó eða hvað þetta er?
Keep the nose up!	Upp með nefið!
Keep it up!	Upp!
Watch it!	Passaðu þig!
You're pearling!	Þú ferð kollhnís.
What are you doing?	Hvað ertu að gera?
Come on, please?	Gerðu það komdu.
Z, I can't learn anything with you on the beach.	Þá lærirðu bara ekki neitt.
Now, come on in.	Komdu nú.
I'm not coming in until you come out.	Ekki fyrr en þú kemur út í. Þú kemur víst.
You want to learn how to surf the right way?	Langar þig að læra að brima almennilega? Auðvitað.
Then you gotta make your own board, all right?	Hvað áttu við með að þú sért...
Can't hear you.	Heyri ekki.
Can I ask one question...	Má ég bara spyrja hvernig...
We're making a board.	Smíðum bretti.
Could you tell me about your board?	Segðu mér frá brettinu þínu.
I just have a palm tree board.	Það er bara úr pálmatré.
I would have to say it's not the nicest board in the world but it is a pretty good board.	Þetta er ekki besta bretti í heimi en þetta er samt ágætt.
The ancient Hawaiians believe that "mana" or heart was transferred into the surfboard as you shaped it.	Frumbyggjar á Hawaii trúðu að, mana  eða hjarta manns flyttist yfir í brettið meðan hann smíðaði það.
What are your thoughts on that?	Hvað heldurðu um það?
What's up with the hair?	Hvað er að sjá hárið á þér?
You could fit a whole fish in there.	Þú gætir geymt fisk þarna.
I can feel it in my nuggets.	Ég finn það í nöggunum.
Aren't you nervous out here in the jungle?	Ertu ekki smeykur í skóginum?
It's kind of dangerous.	Það er hættulegt.
I don't know.	Ég veit það ekki.
What you want is something in-between.	Þú vilt hafa hana þarna mitt á milli.
Trust me.	Trúðu mér.
I'm the expert here. Okay.	Ég er sérfræðingur.
So here are your shaping tools.	Hérna eru verkfærin.
Now, remember, the board's already inside there, see, somewhere.	Mundu að brettið er þarna inni einhvers staðar.
And what you're doing is you're trying to find it. Reveal it.	Og þú ert bara að reyna að finna það.
All right? Okay.	Að afhjúpa það.
Every carve counts.	Hvert handtak skiptir máli.
Why are you smiling?	Af hverju brosirðu?
Don't smile.	Ekki brosa.
I'm not smiling.	Ég er ekki að brosa.
I'm excited.	Ég er spenntur.
This isn't like hacking a piece of ice.	Þetta er ekki eins og að pjakka í klaka.
It takes patience and finesse.	Það þarf þolinmæði og vandvirkni.
All right already.	Allt í lagi.
Can you just give me the tools, please?	Má ég fá verkfærin?
Here, take it.	Hérna, taktu þetta.
Go ahead.	Byrjaðu.
Thank you.	Takk fyrir.
Here we go.	Þá byrjum við.
What are you doing?	Hvað ertu að gera?
If you're gonna do it, do it right.	Þú verður að fara rétt að.
You see what I'm doing here?	Sérðu hvað ég geri?
You let the tool do the work.	Láttu verkfærið um að vinna.
You see?	Sérðu?
Just like you're riding a wave.	Eins og þegar þú nærð öldu.
You let the wave do the work.	Þú lætur ölduna um vinnuna.
You don't fight the wave.	Þú berst ekki við hana.
You can't fight these big waves.	Enginn berst við öldurnar.
Long strokes.	Langar strokur.
Loads of finesse.	Vanda sig.
Find the board within the tree.	Finndu brettið inni í viðnum.
Nice and easy.	Hægt og mjúklega.
Yeah, I got it.	Já, ég skil.
See that?	Sjáðu þetta.
You just... You just...	Þú þarft bara...
Maybe I could do it now.	Nú get ég þetta.
With the...	Fylgdu...
Can I do it now?	Má ég núna?
Can I do it now?	Má ég núna?
Yeah.	Já.
I got carried away.	Fyrirgefðu.
It's your board.	Þetta er þitt bretti.
My board.	Mitt bretti.
Okay, with the grain.	Fylgja æðunum.
I got it.	Ég veit.
Don't forget to eyeball it once in a while.	Mundu að skoða það af og til.
Long strokes, with the grain.	Langar strokur, fylgja æðunum.
Not too long.	Ekki of langar.
Here we go.	Hér kemur það.
You're doing it wrong.	Þú ferð rangt að.
Will you just let me...	Leyfðu mér...
Do you want my help?	Viltu ekki aðstoð?
No, I don't want your help.	Nei, ég vil enga aðstoð.
You don't want my help?	Gott og vel.
I don't want your help. All right.	Ég vil smíða brettið mitt.
Fine. I want to make my board.	Smíðaðu það sjálfur.
Build the board yourself, all right?	Þakka þér fyrir.
I don't care what the board looks like.	Mér er sama hvernig það lítur út.
Don't cut yourself.	Ekki skera þig.
So it's day three, yeah?	Þetta er þriðji dagurinn.
I come across Pen Guans.	Ég sá nokkra Mör-gæja.
I'm Chicken Joe.	Ég heiti Jói kjúll.
Joseph.	Jóhann.
It's long for Joe.	Sem er lenging á Jói.
Sweet, man.	Ljúft, maður.
And they treat me as their king and put me in a hot tub.	Mér leið eins og kóngi. Fór í heitan pott.
It is, I guess, their royal hot tub.	Það var víst konunglegur pottur.
It got kind of hot and steamy.	Það varð heitt og mikil gufa.
But really opened up my pores, you know?	En svitaholurnar opnuðust vel.
It was kind of cool.	Mjög flott.
They served me food while I was in there.	Þeir færðu mér mat í pottinn.
It was like dinner and a show.	Það var bæði matur og sýning.
As enjoyable as it was, I still had a vision of my quest.	Þótt ég skemmti mér vel lét ég verkefnið ganga fyrir.
Thank you.	Takk fyrir.
See you guys later.	Sjáumst seinna.
I gotta get going.	Ég verð að þjóta.
Not again.	Ekki aftur.
You know what else it was?	Veistu hvað fleira?
I had the board.	Ég var með brettið.
The board was fine.	Brettið var fínt.
The board was great. How's it going? It's going great, man.	Alveg frábært.
It's great.	Hvernig gengur? Það gengur mjög vel, maður.
It did look a little rough.	Það virtist svolítið gróft.
You think it's good enough for the big waves?	Heldurðu að það standist stórar öldur?
I think it's good enough for any wave.	Ég held að það standist hvaða öldu sem er.
Okay, let's say I'm a big wave.	Segjum að ég sé stór alda.
Hold on.	Nei, heyrðu mig...
Hey, where you...	Hvert ætlarðu?
Hold on!	Bíddu við!
Where are you going?	Hvert ertu að fara?
It's my board, man, all right?	Þetta er mitt bretti.
Why don't you take your board and go try it out?	Viltu ekki fara og prófa það?
Maybe I will.	Kannski ég geri það.
This is supposed to be fun.	Þetta á að vera skemmtilegt.
I got three days until the contest.	Keppnin hefst eftir þrjá daga.
I don't have time for fun.	Engan tíma fyrir skemmtun.
Hey, Cody!	Cody!
What?	Hvað?
Bring me some clams when you come back!	Ég kem ekki aftur!
I'm not coming back!	Hann kemur.
He'll be back.	Nei!
No, I won't!	Hann kemur aftur.
He'll be back. You guys like barbecue?	Finnst ykkur góður grillmatur?
Yeah, sure.	Já.
Got some wood here.	Hér er viður.
I wasted my whole day and I have nothing to show for it, which is...	Ég sóaði heilum degi og hef ekkert í höndunum.
I was just going to check on you... That's why you were and the Geek. Listen.	Ég ætlaði að kíkja til þín og Aulans.
The Geek is Big Z. What? I know.	Hann er Z. Hvernig komstu að því?
You know? How did you find out?	Við fórum niður á strönd?
We went to the beach. You got him to the beach? Yeah.	Tókst þér að fá hann þangað?
I've been trying to get Z out of that tree for 10 years and you got him all the way down to the beach in one day?	Ég hef reynt að ná honum úr þessu tré í 1 0 ár en þú færð hann niður á strönd á fyrsta degi.
This is fantastic!	Það er frábært.
It's amazing!	Alveg ótrúlegt!
Do you want to go somewhere fun?	Langar þig að skemmta þér?
Do you want to go somewhere really, really fun?	Langar þig í mikið fjör?
Did you want to get back to Big Z? I'm sorry.	Eða viltu kannski fara aftur til Z?
You don't want to get all cut up, do you?	Til hvers er þetta? Ekki viltu skera þig.
Hold on.	Bíddu.
I'm out of here. I'm better off...	Ég fer, það er betra...
What's going on now?	Hvað gerist nú?
It's not a race!	Þetta er ekki keppni!
Okay, wait, don't take the left...	Bíddu, ekki til vinstri...
Cody!	Gefstu upp, snigill.
Give up, slowpoke!	Þetta er búið!
It's over with now!	Ekki aldeilis!
Not for long!	Gefstu upp, auli!
I beat you!	Ég vann!
Congratulations, you sure did.	Til hamingju.
You should probably get out of there.	Þú ættir að koma þér upp úr þessu.
Why is that?	Af hverju?
Look at me.	Sjáðu mig.
It's so beautiful.	Þetta er fallegt.
Look at it.	Sjáðu þetta.
What is this stuff?	Hvað er þetta?
See those things up above you?	Sérðu þetta þarna uppi?
They're glowworms.	Þetta eru glóormar.
So you're right beneath them.	Og þú ert fyrir neðan þá.
Yeah, that's poop.	Já, þetta er kúkur.
You know how some stinks stink and other stinks smell good? Yeah. This is, like, a good stink.	Sum fýla er vond en önnur góð.
A good stink?	Þetta er góð fýla. Góð fýla?
Can I tell you something personal?	Má ég segja nokkuð persónulegt?
We're in the shower together.	Við erum saman í sturtu.
You can say whatever you want.	Þú mátt segja það sem þú vilt.
I'm serious.	Mér er alvara.
I don't know.	Ég veit ekki.
I've been a jerk to him.	Ég var leiðinlegur við hann.
I don't know what he thinks.	Nei, það er ekki rétt.
You haven't. I have.	Jú, ég var leiðinlegur.
I have.	Víst var ég það.
Then go not be a jerk.	Hættu því þá.
What does it matter to you anyways?	Hverju skiptir það þig?
He's my uncle. He's the only family I've got.	Hann er frændi minn og eini ættingi minn.
Look at that.	Sjáðu þetta.
That's the best place in the world to be, in the tube.	Ekkert er betra en að vera í öldufallinu.
Really?	Er það?
Better than winning, the trophy, all that stuff.	Betra en að vinna til verðlauna og allt það.
It's a feeling that not too many people will experience so it's special in that sense.	Þeirri reynslu kynnast ekki margir svo það er mjög sérstakt.
Once you get inside you never want to get out. Wow.	Þegar maður er kominn inn vill maður ekki fara út.
You know who you sound like right now?	Veistu hvern þú minnir mig á núna?
I promote happiness!	Ég býð upp á gleði.
Can you see the happiness emanating from me?	Sérðu að það stafar gleði frá mér?
What's wrong with you? We're live. Good.	Hvað er að?
Good.	Við erum í beinni. Gott.
I have to say, I have no doubt that this year's Big Z Memorial is gonna be the best ever.	Ég efa ekki að þetta minningamót um Z verður það besta hingað til.
On my search for Cody, I bump into my hot tub buddies again.	Þegar ég var að leita að Cody rakst ég á vini mína með heita pottinn.
I get it.	Ég skil.
You guys look hungry.	Þið virðist svangir.
You've probably got the munchies or something.	Ykkur langar víst í snarl.
Squidito on el stickito?	Smokkfiskó á el prjónó., Bragðast eins og kjúklingur!"
Check it out!	Sjáðu þetta!
Dude, have you seen my friend Cody?	Hefurðu séð vin minn, Cody?
He's kind of like a penguin.	Hann minnir á mörgæs.
He's got a lot of black on him, a lot of white.	Hann er bæði svartur og hvítur.
How did you learn how to surf?	Hvernig lærðirðu að brima?
I saw Big Z do it, actually.	Ég horfði á Z. Þá varst þú varla fæddur.
I think he really has to go to the bathroom right now.	Ég held að hann þurfi að fara strax á klósettið.
What's next?	Hvað nú?
The board is done.	Brettið er klárt.
The board is done?	Er brettið klárt?
The board is done.	Já.
Well, let's do some training.	Æfum okkur þá.
Finally!	Loksins!
Can we get a shot of you...	Megum við fá mynd...
You've got to get it in a long shot.	Notið þá aðdráttarlinsuna.
Hey, Z!	Z!
Come on!	Komdu!
Where you going?	Hvert ertu að fara?
I thought we were going to train.	Ætluðum við ekki að æfa?
Not in the water.	Ekki í sjónum.
Jeez.	Hvað ertu að hugsa?
You want to surf like Big Z used to?	Viltu brima eins og Z gerði?
Yeah.	Já.
Let's do it.	Til er ég.
No, put them on your eyes.	Settu þetta á augun.
On my eyes.	Svona.
Take it, Cody.	Augun í mér.
What are you talking about?	Nú þú, Cody. Getum við æft í alvöru?
What do you think we're doing?	Hvað heldurðu að við séum að gera?
Acting like nutjobs.	Við látum eins og vitleysingar.
This is getting ridiculous. You having fun?	Þetta er fáránlegt Finnst þér gaman?
I hate you.	Ég þoli þig ekki.
Big, you know, slow: He does this flip over the top.	Þessi er stór. Hægfara. Hann tekur heljarstökk.
All right, now you go.	Allt í lagi.
No joy, man.	Nú þú.
No joy.	Engin gleði.
Fail.	Fallinn.
I'm starting to see it, man.	Ég er farinn að skilja þetta.
I think I know what you're talking about.	Ég veit hvað þú átt við.
That's great.	Frábært.
Then, Cody you passed!	Jæja, Cody, þú náðir!
What?	Hvað?
