We both know it.	Við vitum það bæði.
I don't want any trouble here.	Ég vil engin vandræði.
You gotta be kiddin'me.	Þú hlýtur að vera að grínast.
I didn't ask you what you wanted, you little fag.	Ég spurði ekki hvað þú vildir, hommatittur.
You fucker!	Hálfviti.
You motherfucker!	Drullusokkurinn þinn.
I'll kick your white hick ass!	Ég tek í þig.
Hold on, cowboy.	Rólegur.
Can't I leave you alone for five minutes?	Get ég ekki látið þig eina í fimm mínútur?
You fuck!	Drullusokkur.
I'm gonna get your ass!	Ég tek í þig.
Come on, stud.	Komdu, foli.
You got us into this.	Þetta er þér að kenna.
Oh, shit.	Fjandinn.
Cops, man.	Löggur, maður.
They suck.	Þær eru vitlausar.
I would've had those guys if you wouldn't have stopped me.	Ég hefði tekið í þá ef þú hefðir ekki stoppað mig.
Oh, my God!	Ó, Guð minn góður.
John, look.	John, sjáðu.
You're gonna have a shiner in the mornin'.	Þú verður með glóðarauga í fyrramálið.
I am?	Er það?
Yeah.	Já.
Oh, shit!	Fjandinn.
You got a light, man?	Áttu eld?
Oh, yeah, here.	Hérna.
You have got the tiniest hands.	Þú ert með smáar hendur.
They're big.	Þær eru stórar.
Joe Louis had tiny hands.	Joe Louis var með smáar hendur.
He didn't throw punches without defence.	Hann kýldi ekki án þess að verja sig.
If you're gonna get into fights over girls, learn a few moves.	Ef þú ætlar að slást yfir stelpum verðurðu að læra að hreyfa þig.
Come on.	Komdu.
Hey, pussy.	Hey, skræfa.
Fuck you, man!	Rúnkaðu þér, maður.
Tom, this is Brandon. Hey.	Tom, þetta er Brandon.
John.	John.
We'll give you a ride home, as soon as we find the goddamn car!	Við gefum þér far heim, um leið og við finnum bölvaðan bílinn.
Sorry!	Fyrirgefðu.
It's up here somewhere!	Hann er hérna einhversstaðar.
We're goin'to a party.	Við erum á leið í partí.
You wanna come?	Viltu koma með?
Candace, it's 70 miles away.	Candace, það er 70 mílur í burtu.
I don't care.	Mér er sama.
I mean, the night is young and... and I am a mess, so...	Ég meina, nóttin er ung og ég er í rusli, svo... John...
Good.	Gott.
Are we there yet?	SLEIKTU MIG LINCOLN NE Erum við komin?
It's just up ahead... unless you wanna stop at a roadhouse and get in another fight.	Næstum því, nema að þú viljir stoppa í krá og lenda í öðrum slagsmálum.
I don't know where the fuck I am.	Ég veit ekki hvar í fjandanum ég er.
Falls City?	Falls City?
What are you doin' down there?	Hvað ertu að gera þar?
That's not even on the map.	Það er ekki einu sinni á kortinu.
Oh, fuck!	Ó, fjandinn.
Lonny, my life is a fuckin'nightmare.	Lonny, líf mitt er martröð.
I got this big court date next week and I don't got anywhere to stay.	Ég þarf að mæta fyrir rétt í næstu viku og á hvergi höfði að halla.
If I don't make it, I'm fucked.	Ef ég kem ekki er ég búinn að vera.
Can I just stay at your house?	Get ég ekki bara verið hjá þér?
What about those doctors?	Hvað með læknana?
I went.	Ég fór.
It's insane.	Það er geðveikt.
You gotta see shrinks, shoot hormones up your butt, and it costs a fuckin' fortune.	Maður hittir sálfræðinga, sprautar hormónum í rassinn, og það er rándýrt.
I'll be an old man before I get that kinda money.	Ég verð gamall maður áður en ég eignast þannig peninga.
You gotta do somethin'.	Þú verður að gera eitthvað.
You can't just keep runnin', because you'll end up in jail.	Þú getur ekki haldið áfram að flýja, því þú endar í steininum.
For ever.	Til eilífðar.
You really think I can do it? You're the butch.	Heldurðu virkilega ég geti það?
Now come straight to my house.	Þú ert karlmaðurinn.
No stoppin' in bars, no stealin'...	Komdu nú beint heim til mín. Ekki stoppa á börum, ekki stela...
And no more girls.	Og engar fleiri stelpur.
No more girls.	Engar fleiri stelpur.
No more girls.	Engar fleiri stelpur.
Hey, handsome.	Hey, sæti.
Sleep all right?	Svafstu vel?
Yeah.	Já.
Candace.	Candace.
I remember.	Ég man.
This is Cody.	Þetta er Cody.
Beautiful.	Fallegur.
You still brooding' over your fiancée?	Enn særður af heitkonunni?
What?	Hvað?
It's a real long story.	Það er löng saga.
God, you're really good with kids.	Guð, þú hefur lag á krökkum.
Yeah... I got one of my own.	Já... ég á einn sjálfur.
Hey, Brandon!	Hey, Brandon.
Good news.	Góðar fréttir.
I got you a ride.	Ég fékk far fyrir þig.
All right!	Flott.
He's goin'to Lincoln later tonight. Oh, wow!	Hann fer til Lincoln seinna í kvöld.
Cool.	Frábært.
You suck!	Þú ert lélegur.
Hey, champ! Hey!	Hey, meistari.
Tom only dates girls with a little butt and a long crack, right up to the small of the back.	Tom fer bara út með stelpum með lítinn rass og langa skoru, alla leið upp á mjóbakið.
That's how he picks'em.	Þannig velur hann þær.
He looks fine, right?	Heldurðu ekki hann sé í lagi?
Yeah, just like family.	Jú, eins og fjöldskyldumeðlimur.
Speakin' of.	Talandi um.
Hey, where's Lana?	Hey, hvar er Lana?
We were gonna go on, but she wandered off.	Við ætluðum á svið, en hún fór eitthvert.
You got time to stick around, right?	Þú hefur tíma, ekki satt?
These girls get their shit together, they're gonna do some karaoke.	Þegar stelpurnar hafa græjað sig, syngja þær karaoke.
Lana!	Lana.
Where you been?	Hvar hefurðu verið?
Come on, Lana.	Svona, Lana.
Let's go on already.	Drífum í þessu.
Lana, it was your idea!	Lana, þetta var þín hugmynd.
Who are you?	Hver ert þú?
What the fuck...?	Hvað í fjandanum?
You were gonna be five minutes!	Þú ætlaðir að vera fimm mínútur.
We got stuck in time warp!	Við festumst í tímavél.
Jesus, get in the car already.	Komið ykkur inn í bílinn.
Brandon, come with us.	Brandon, komdu.
He's a psycho killer, anyways.	Hann er geðbilaður morðingi, hvort sem er.
Crash with me again.	Gistu hjá mér aftur.
One more night, Tyson!	Eina nótt í viðbót, Tyson.
Come on, buddy.	Komdu félagi.
Like I was sayin'...	Eins og ég var að segja...
I get to the house, you know?	Ég kem heim, skilurðu?
My sister was totally naked and totally on fire.	Systir mín var allsnakin og alelda.
Right, John?	Ekki satt, John?
Tom was like "Where's my camera?"	Tom sagði "Hvar er myndavélin mín?"
You saved everyone?	Bjargaðirðu öllum?
Oh, yeah.	Ó, já.
Tom's a big hero.	Tom er hetja.
He rescued everybody.	Hann bjargaði öllum.
Right, dickwad?	Ekki satt, litli tilli?
So when they brought me in, they said "This is the biggest fire we've seen in 50 years!"	Þegar ég fór á stöðina, sögðu þeir "Þetta er stærsti eldur sem við höfum séð í 50 ár."
"You're a hero, man!"	"Þú ert hetja."
And I was like "Yeah?"	Ég sagði bara "Í alvöru?"
And they were like "Yeah ".	Og þeir sögðu "Í alvöru ".
That's why they put me in all them Lincoln newspapers.	Þessvegna var ég í öllum Lincoln blöðunum.
Probably seen me.	Þú sást mig sennilega.
That's cool.	Flott.
What the hell is that?	Hvað er þetta?
Bumper-skiing, man.	Stuðara skíði, maður.
Thank you.	Takk.
Flippin' burgers.	Steikja borgara.
That's for squares, man.	Það er fyrir aumingja.
Give me real work, like in the oilfields or somethin'.	Ég vil alvöru vinnu, á olíborpöllum eða eitthvað.
I wanna be a smoke jumper out in Mount St Helens.	Ég vil verða reykkafari í Mount St Helens.
You know, fightin' fires, makin' lots of money, and then travelling' all around: Memphis, Graceland, Tennessee...	Þú veist, slökkva elda, græða helling af pening, og ferðast svo út um allt: Memphis, Graceland, Tennessee...
You dick.	Hálfviti.
Graceland is in Memphis and Memphis is in Tennessee.	Graceland er í Memphis og Memphis er í Tennessee.
I know.	Ég veit.
Maybe you've had enough.	Kannski hefurðu fengið nóg.
I ain't had any.	Ég hef ekkert fengið.
No shit, man.	Ekkert rugl, maður.
People like you, you don't need drugs.	Fólk eins og þú þarf ekki dóp.
Brandon, that means you.	Brandon, þá ert það þú.
Yeah, stud!	Já, foli.
Let's go, cowboy!	Tökum á því.
Come on, you can do it.	Svona, þú getur þetta.
Brandon is a mean prizefighter from Lincoln.	Brandon er glerharður boxari frá Lincoln.
Be careful what you say to him.	Passið ykkur hvað þið segið við hann.
Tough.	Seigur.
Very tough.	Mjög seigur.
Don't let'em scare ya.	Ekki láta þá hræða þig.
You can do it.	Þú getur þetta.
Freak!	Viðundur.
Come on!	Svona.
You can do better than that! One more time.	Þú getur betur en þetta.
John, come on.	Einu sinni enn.
Stop it, John.	John, láttu ekki svona.
Oh, OK, OK.	Hættu þessu.
Take it easy.	Taktu því rólega.
I'm fine.	Ég er í fínu lagi.
Yeah, you're fine.	Já, þú ert í fínu lagi.
You're fucked up, you know?	Þú ert ruglaður, veistu það?
You are one crazy little fucker.	Þú ert kolvitlaus lítill djöfull.
What are we goin'to do with you?	Hvað eigum við að gera við þig?
Man, it's nothin'.	Þetta er ekkert.
Wait, where are we goin'?	Bíddu, hvert erum við að fara?
Wait, I'll drive!	Bíddu, ég keyri.
You sell, uh... Ruffles? Ruffles.	Selurðu Ruffles?
Right over there.	Þarna.
Dream on, Lana.	Láttu þig dreyma, Lana.
I can't be sellin' you no beer tonight.	Ég get ekki selt þér bjór í kvöld.
Fine.	Flott.
I'll browse.	Ég skoða bara.
The beer's in the back if you want it.	Bjórinn er aftan til ef þú vilt hann.
Hey. Space cowboy!	Rugludallur.
I'm so wasted.	Ég er svo dópuð.
I don't know if I'm ever gonna come down.	Ég er ekki viss ég komi nokkurntíma niður.
That's OK.	Það er í lagi.
I need beer.	Ég þarf bjór.
Come here.	Komdu hingað.
It's OK. It's OK.	Það er í lagi.
It's OK.	Það er í lagi.
Here.	Hérna.
It's for me.	Hann er handa mér.
Can I see some ID?	Má ég sjá skilríki?
Sure.	Sjálfsagt.
How beautiful!	En fallegt.
Jesus Christ, I feel like I'm on acid.	Jesús, mér líður eins og ég sé á sýru.
It's like an album cover.	Þetta er eins og plötuumslag.
Would you, uh... care to join me?	Viltu koma með mér?
Come on.	Svona.
Fuck off!	Farðu til helvítis.
Don't you talk to me like that, you skanky little snake.	Ekki tala svona við mig, daunilli ormurinn þinn.
Kwik Stop.	Kwik Stop.
Lana! Lana, wait.	Lana, bíddu.
I'll drive you.	Ég skal keyra þig.
I got Candace's car.	Ég er með bíl Candace.
I'm walkin'.	Ég geng.
Well, here.	Jæja, hérna.
What are you still hangin' around here for?	Eftir hverju ertu að bíða?
Well, I thought someone oughta walk you home before you get an MIP.	Mér fannst einhver ætti að ganga heim með þér áður en þú færð áfall.
I don't need anybody to walk me anywhere.	Það þarf enginn að ganga neitt með mér.
Jeez, watch it.	Passaðu þig.
I don't need you to stop me from tripping'.	Þú þarft ekki að passa að ég detti ekki.
Lana, you are one cranky girl.	Lana, þú ert aldeilis úrillur kvenmaður.
You 'd be cranky, too, Mr I'm-Going. To-Memphis-Graceland-Tennessee, if you were stuck where there's nothin to do but go bumper-skiing and chase bats.	Þú værir úrillur líka, hr Ég-fer - til-Memphis-Graceland-Tennessee, ef þú hefðir ekkert að gera nema að fara á stuðaraskíði og elta leðurblökur.
Hey, I've been bored my whole life.	Hey, mér hefur leiðst allt mitt líf.
Is that why you let John tie you to the back of a truck and drag you around like a dog?	Leyfðirðu John þessvegna að binda þig aftan á trukk og draga þig eins og hund?
I just thought that's what guys do around here.	Ég hélt bara að það væri það sem strákar gera hérna.
Wait a minute.	Bíddu við.
What's your name again?	Hvað heitirðu aftur?
Brandon.	Brandon.
The discs... took off from here.	Geimförin flugu héðan.
That's all there is.	Þetta er allt og sumt.
Let's go back. Lana?	Förum tilbaka.
Lana?	Lana?
Look, just go on home, OK?	Heyrðu, farðu bara heim, allt í lagi?
God, I hate my life.	Guð, ég hata líf mitt.
I hate your life, too.	Ég hata líf þitt líka.
Don't look at my stupid house.	Ekki horfa á heimskulega heimilið mitt.
I'm not lookin' at your stupid house.	Ég er ekki að því.
I'm lookin' at you.	Ég er að horfa á þig.
What was I thinkin'?	Hvað var ég að hugsa?
Mom... come on.	Mamma... komdu.
Come on!	Komdu.
Did you eat?	Borðaðirðu?
It's all right.	Obbosí.
It's OK.	Þetta er í lagi.
Hi.	Hæ.
Here, drink this.	Hérna, drekktu þetta.
You'll feel better in the mornin'.	Þér líður betur í fyrramálið.
Come on.	Svona.
It's good for ya.	Hérna. Þetta er gott fyir þig.
Yeah, I got a thing for cow.	Já, ég er hrifin af beljum.
I know a song about cows.	Ég kann lag um beljur.
My dad taught it to me.	Pabbi kenndi mér það.
You're not gonna sing it for me, are ya?	Ætlarðu nokkuð að syngja það fyrir mig?
I can't sing to save my life.	Ég get ekki sungið til að bjarga lífinu.
Me neither.	Ekki ég heldur.
What?	Hvað?
