Publication detail	Nánar um útgáfu
Description of method used for allocation of financial intermediation services indirectly measured (FISIM), Statistical series: Gross Domestic Product 2005 - provisional data, 14 March 2006.	Lýsing á aðferðum við mat á reiknaðri bankaþjónustu, Hagtíðindi: Landsframleiðslan 2005 - áætlun, 14. mars 2006.
Further information about specific parts of the government finance statistics are given by the staff of the unit of public finance and sector accounts, see list of staff.	Nánari upplýsingar um einstaka þætti í reikningum hins opinbera veita einstakir starfsmenn Hagstofunnar í deild þjóðhagsreikninga og opinberra fjármála, sjá Netfangaskrá.
Some of these students may only have taken a temporary leave from studying.	Vert er að hafa í huga að sumir þeirra nemenda sem hér eru taldir til brottfallsnema eru aðeins í hléi frá námi.
Students in external learning are counted with students in distance learning.	Nemendur í námi utanskóla eru taldir með nemendum í fjarnámi.
The year of study refers to the student's progress, not to the actual number of years the student has been studying.	Það skal tekið fram að námsár er hér miðað við framvindu nemenda í námi en ekki við raunverulegt námsár.
There were no dropouts in the 6th year of study.	Ekkert brottfall var hjá nemendum á 6. ári.
When the data are broken down into subcategories there can be large fluctuations in the percentages due to the small number of students.	Hafa ber í huga að þegar tölurnar eru brotnar niður í marga undirflokka eru aðeins fáir nemendur í hverjum undirflokki og því geta verið miklar sveiflur í hlutfallstölum.
Municipal services to persons with disabilities 2011-2012	Þjónusta sveitarfélaga við fatlað fólk 2011-2012
Category	Tegund
Time deposits	Bundin innlán
General loans, bonds	Almenn útlán
Based on two due dates per year.	Gert er ráð fyrir tveimur gjalddögum á ári.
Indexed securities	Ný (löng) verðtryggð lán
New price-indexed loans and mortage loans are now from 2004 included in calculations of real interest on new indexed loans.	Ný verðtryggð íbúðalán og fasteignalán eru meðtalin frá 2004 í útreikningi raunvaxta nýrra verðtryggra lána.
Interest	Ávöxtun
One out of ten skipped a visit to the dentist due to cost in 2015	Einn af hverjum tíu fór ekki til tannlæknis vegna kostnaðar árið 2015
Four out of hundred women and two out of hundred men in Iceland did not see a doctor when needed due to cost in 2015, or about 8 thousand people in total.	Fjórar af hverjum hundrað konum og tveir af hverjum hundrað körlum neituðu sér um þjónustu læknis eða sérfræðings árið 2015 vegna kostnaðar, eða samtals tæplega 8 þúsund manns.
Around 6% of people in the lowest income quintile did not see a doctor due to cost compared with 1% of people in the highest income quintile.	Kostnaður er meiri fyrirstaða fyrir tekjulægri hópana en þá tekjuhærri, en 6% fólks í tekjulægsta fimmtungnum fór ekki til læknis vegna kostnaðar á móti rúmlega 1% fólks í efsta tekjufimmtungi.
It is estimated that around 25 thousand people, approximately 10% of adults in Iceland, did not see a dentist when needed due to cost in 2015, about 11 thousand men and 14 thousand women.	Áætlað er að 25 þúsund manns, eða um 10% fullorðinna á Íslandi, hafi árið 2015 einhvern tíma ekki farið til tannlæknis vegna kostnaðar þegar þau þurftu, um 11 þúsund karlar og 14 þúsund konur.
Compared to other European countries the group that doesn't see a dentist when needed for some reason is relatively large in Iceland.	Á heildina litið er hlutfall þeirra hátt á Íslandi sem ekki fóru til tannlæknis þrátt fyrir að þurfa þess í evrópskum samanburði.
The share of women that did not go to a dentist due to cost was the fourth highest in Europe and among men the fifth highest.	Hlutfall kvenna sem ekki fór til tannlæknis vegna kostnaðar reyndist vera það fjórða hæsta í Evrópu og hlutfallið meðal karla það fimmta hæsta.
One in every four unemployed people in Iceland did not go to a dentist due to cost in 2014, 23% of women and 26% of men, which is the fourth highest proportion in Europe for both sexes.	Einn af hverjum fjórum atvinnulausum á Íslandi fór ekki til tannlæknis vegna kostnaðar árið 2014, 23% kvenna og 26% karla, sem er fjórða hæsta hlutfallið í Evrópu hjá báðum kynjum.
In second place were those who are of working age but not active in the labour market, e.g. students, people with disabilities and homemakers.	Næst á eftir atvinnulausum eru hæstu hlutföll þeirra sem neita sér um tannlæknaþjónustu að finna hjá fólki sem er á vinnualdri en ekki á vinnumarkaði, til dæmis námsmenn, öryrkjar eða heimavinnandi.
Of women in Iceland outside the labour force, 17% didn't see a dentist due to cost in 2014, sharing the top seat in Europe with women in Portugal and Latvia.	Um 17% kvenna utan vinnumarkaðar á Íslandi fór ekki til tannlæknis sökum efna árið 2014 og deilir Ísland þar hæsta hlutfallinu með Portúgal og Lettlandi.
Among men outside the labour force, 13% skipped a dentist's appointment in Iceland which was the second highest share in Europe after Latvia (18%).	Meðal karla var hlutfallið á Íslandi um 13%, sem er annað efsta hlutfallið á listanum á eftir Lettlandi (18%).
Newest data is for 2004 except discharges and causes of death which refer to 2003.	Nýjustu tölur eru frá 2004 nema fyrir sjúkrahúslegur og dánarorsakir sem eru frá 2003.
Oldest figures for daily smokers are from 1987.	Elstu tölur um reykingar eru frá 1987.
Figures on overweight and obese are for 1990 and 2002.	Tölur um fólk yfir kjörþyngd og offitu eru fyrir árin 1990 og 2002.
Figures on cancer refer to 1974-78, 1984-88, 1994-98 and 1999-2003.	Tölur um krabbamein ná til 1974-78, 1984-88, 1994-98 og 1999-2003.
Various institutions and individuals interested in air transport.	Fyrirspurnir berast frá almenningi og nemendum sem vinna að ákveðnum verkefnum þessu tengdu.
Data concerning other airports is only delivered once a year in connection with the publication of the Statistical Yearbook of Iceland, Landshagir.	Árlega er leitað til Hæstaréttar eftir tölum fyrir liðið ár í tengslum við útgáfu Landshaga, árbókar Hagstofunnar.
The data concerning Keflavik airport consist of tonnes of freight and mail to and from the country, and number of passengers arriving and departing the country, as well as number of passengers in transit.	Upplýsingum er safnað um fjölda mála sem skotið er til Hæstaréttar, svo og fjölda dóma og annarra ákvarðana sem falla.
The data concerning the other airports in the country also consist of tonnes of freight and mail and the number of passengers for each airport and also show whether those passengers are travelling by scheduled flights, non-scheduled flights or ambulance flights.	Málum er jafnframt skipt í opinber mál og einkamál og síðan í einstaka brotategundir þar undir.
Newest figures refer to 2004.	Nýjustu tölur eru frá 2004.
Oldest figures on employed full-time and part-time refer to 1983 and cover married people working 40-52 weeks a year (full-time) and less than 40 weeks a year (part-time).	Elstu tölur um hlutfall starfandi eru fyrir árið 1983 og ná til giftra kvenna og kvæntra karla sem vinna 40-52 vikur (fullt starf) og undir 40 vikum (hlutastarf).
Unemployment rates 1975 and 1985 refer to registered unemployment.	Atvinnuleysi 1975 og 1985 á við skráð atvinnuleysi.
The labour force participation rate of women has never been higher	Atvinnuþátttaka kvenna hefur aldrei verið hærri
The unadjusted gender pay gap was 14% for full-time employees in 2015.	Óleiðréttur launamunur kynjanna hjá fullvinnandi launþegum var rúm 14% árið 2015.
On the other hand 45% of men and 30% of women in that age-group had upper and post-secondary education.	Þá voru 45% karla og 30% kvenna með starfs- og framhaldsmenntun.
Women are now 48% of elected members of Althing and 44% of local government members but their share in many other positions of influence is lower.	Konur eru nú 48% alþingismanna og 44% kjörinna sveitarstjórnarmanna en í mörgum öðrum áhrifastöðum er hlutur kvenna lægri.
The proportion of women as managers of enterprises varies by size, e.g. it was 22% in enterprises with 1-49 employees but 9% where the number was 250 or more in 2015.	Hlutfall kvenna í stöðu framkvæmdastjóra fer eftir stærð fyrirtækis, til dæmis var það 22% hjá fyrirtækjum með 1-49 starfsmenn en 9% í fyrirtækjum með 250 starfsmenn eða fleiri árið 2015
Statistics Iceland publishes the leaflet Women and Men in Iceland 2017 in cooperation with the Centre for Gender Equality and The Ministry of Welfare.	Hagstofa Íslands gefur út bæklinginn Konur og karlar á Íslandi 2017 í samstarfi við Jafnréttisstofu og velferðarráðuneytið.
The leaflet has information on the status of women and men in the community.	Í honum eru samanteknar upplýsingar sem gefa vísbendingar um stöðu kvenna og karla í samfélaginu.
In figures and diagrams it covers information on population, media, education, labour market, wages and positions of influence.	Þar eru tölur og myndrit um mannfjölda, fjölmiðla, menntun, vinnumarkað, laun og áhrifastöður.
The leaflet is published both in Icelandic and English.	Bæklingurinn er gefinn út á hverju ári bæði á íslensku og ensku.
Key figures on women and men have been updated as well.	Einnig hafa Lykiltölur um konur og karla verið uppfærðar.
They give an idea of the sex aggregated data available on the Statistics Iceland's website.	Þar er þó aðeins stiklað á stóru úr víðtækum kyngreindum gögnum Hagstofunnar, sem nálgast má á vef stofnunarinnar.
The newest figures refer to 2004 except for sterilizations that refer to 2003.	Nýjustu tölur eru frá 2004 nema um ófrjósemisaðgerðir sem eru frá 2003.
