No more murders!	Ekki fleiri morð!
Ask your friend, Henry.	Spyrðu Henry vin þinn.
You shut your mouth, you stupid whore.	Haltu þér saman, heimska hóra!
Give me what I need, or I'll knock your teeth out.	Gefðu mér það sem ég þarf eða ég slæ úr þér tennurnar.
You lying son of a bitch.	Lygamörðurinn þinn.
God damn it!	Fjandinn hafi það!
No, Abe, stop!	Nei, Abe, hættu!
You weren't ready to know.	Þú varst ekki tilbúinn til að vita það.
What, that you are a vampire?	Að þú sért blóðsuga?
You are not the only one... who has lost everything to vampires.	Þú ert ekki sá eini sem hefur misst allt vegna blóðsuga.
Just because the carriage stops... doesn't mean we have to.	Þótt vagninn stansi þurfum við ekki að hætta.
Get in the carriage.	Farðu inn í vagninn.
Take this.	Taktu þetta.
Run.	Hlauptu.
Just run.	Ekki stansa.
Henry!	Henry!
Her soul was pure.	Sál hennar var hrein.
But yours, Henry...	En þín sál...
It's one of God's little tricks.	Þetta er eitt af brögðum Guðs.
Vampires cannot kill their own kind.	Blóðsugur geta ekki drepið sína líka.
Only the living can kill the dead.	Aðeins lifendur geta drepið dauða.
Welcome to the family.	Velkominn í fjölskylduna.
You can't save the world, and the ones you love, Lincoln.	Þú getur ekki bjargað heiminum og ástvinum þín, Lincoln.
You need to make a choice.	Þú verður að velja á milli.
I'm sorry... but goodbye.	Mér þykir það leitt.
Abe! Mary!	En vertu sæll.
What on earth are you doing?	Hvað í ósköpunum ertu að gera? Komdu inn.
What are you hiding?	Hvað ertu að fela?
Nothing.	Ekkert.
Abe? It's nothing.	Það er ekki neitt.
Abe, I know when you're lying.	Ég veit hvenær þú lýgur.
What are you hiding from me?	Hvað ertu að fela fyrir mér?
All right.	Jæja þá.
I didn't want to tell you this way.	Ég vildi ekki segja það svona.
This is not the way that I planned it.	Þetta átti ekki að fara svona.
But if you really must know...	En ef þú vilt endilega vita það...
Mary Todd... will you make me the happiest of men?	Mary Todd... viltu gera mig hamingjusamastan allra manna?
And do you, Abraham... promise to love her, comfort her... be honorable and honest with her in all things... in sickness and health... till death do you part?	Og vilt þú, Abraham, heita að elska hana og styðja, vera ærlegur og heiðarlegur við hana á allan hátt í blíðu og stríðu þar til dauðinn aðskilur ykkur?
I do.	Já.
Then by the power vested in me by almighty God... in the great state of Illinois... I now pronounce you... man and wife.	Í krafti þess valds sem mér er veitt af Guði almáttugum í þessu mikla ríki Illinois, lýsi ég ykkur hér með hjón.
You may kiss the bride.	Þú mátt kyssa brúðina.
Your mother would be so proud.	Móðir þín væri svo stolt.
Thank you, Will.	Takk, Will.
I'm happy you could be here.	Það var gott að þú komst.
You're the only family I have.	Þú ert eina fjölskyldan sem ég á.
Except for this one.	Að þessari frátalinni.
Congratulations.	Til hamingju.
May I introduce Mr. Henry Sturges.	Má ég kynna Henry Sturges.
My wife, Mary.	Eiginkona mín, Mary.
And my dear friend, Will Johnson.	Og minn kæri vinur, Will Johnson.
Heavens, Mr. Sturges, you're as chilly as the winter wind.	Þú ert ískaldur eins og vetrarnæðingur, herra Sturges.
Henry, please.	Henry.
I'm afraid that's a hazard of carrying one's own bottle.	Það fylgir því að bera flöskuna sína.
Well, you know what they say, "Cold hands, warm heart."	Þú veist hvað sagt er:, Kaldar hendur, hlýtt hjarta."
Yes, but I highly doubt that.	Ég efast stórlega um það.
Mr. Sturges is a business associate.	Sturges er viðskiptafélagi minn.
Yes, I thought we could talk a little business.	Já, ég vonaðist til að ræða viðskipti.
Of course.	Að sjálfsögðu.
If you'll excuse me.	Hafðu okkur afsakaða.
What the hell are you doing here?	Hvern fjandann ertu að gera hér?
Be cautious, Abraham.	Gættu þín, Abraham.
One forgets how easily we can lose the most precious things.	Það vill gleymast hve auðveldlega við getum misst það dýrmætasta.
They don't even know who I am.	Þau vita ekki einu sinni hver ég er.
Go upriver.	Farðu upp með ánni.
Invite this Mr. Lincoln to join us at the plantation.	Bjóddu Lincoln að hitta okkur á plantekrunni.
We're going to throw a ball in his honor.	Við höldum dansleik honum til heiðurs.
What makes you think he'll accept?	Af hverju heldurðu að hann þiggi boðið?
I think we can find a way to tempt him.	Ég held að það finnist leiðir til að freista hans.
It's a good book. It's good.	Þetta er góð bók.
Get him! Abe.	Takið hann!
We've got a problem.	Nú er illt í efni.
They took Will.	Þeir tóku Will.
What are you going to do?	Adam óskar nærveru þinnar í danssal sínum Hvað ætlarðu að gera?
I'm going to accept his invitation.	Ég ætla að þiggja boðið.
Speed deserved to know the truth of what we were about to face.	Speed verðskuldaði að vita sannleikann um það sem í vændum var.
I told him everything.	Ég sagði honum allt af létta.
Not knowing if he would believe me or think me mad.	Án þess að vita hvort hann myndi trúa mér eða telja mig vitskertan.
Not knowing if he would have the courage to face the monsters... that I had come to know.	Án þess að vita hvort hann hefði kjark til að mæta óvættunum sem ég hafði kynnst.
You and me, Abraham, together we can accomplish anything.	Þú og ég, Abraham, við tveir getum gert hvað sem er.
There are no slaves.	Hér eru engir þrælar.
Where are they?	Hvar eru þeir?
I was just wondering that.	Ég var einmitt að velta því fyrir mér.
Something isn't right about this, Abe.	Það er eitthvað bogið við þetta.
I don't know how to dance.	Ég kann ekki að dansa.
Don't worry, I'll teach you.	Það gerir ekkert til, ég skal kenna þér.
Wait here.	Bíddu hérna.
Ladies and gentlemen... dinner is served.	Dömur mínar og herrar, kvöldverðurinn er framreiddur.
Bravo, Mr. Lincoln. Bravo.	Húrra, herra Lincoln.
You're even better than I 'd heard.	Þú ert ennþá betri en sagt er.
A shame to sacrifice so many of my best men... but I needed to know if you're up to the task.	Það er synd að fórna svo mörgum af mínum bestu mönnum en ég þurfti að vita hvort þú réðir við verkið.
What do you want with me?	Hvað viltu mér?
To see you liberated.	Ég vil sjá þig frelsaðan.
To see you rise up and destroy your oppressor.	Sjá þig rísa upp og tortíma kúgara þínum.
That's interesting advice, coming from a slave owner.	Það er athyglisvert heilræði frá þrælahaldara.
Men have enslaved each other... since they invented gods to forgive them for doing it.	Menn hafa hneppt hvern annan í þrældóm frá því þeir fundu upp á guðum til að fyrirgefa þeim það.
I've seen Jews build Egypt's glory.	Ég hef séð gyðinga byggja dýrð Egyptalands.
Seen Christians... thrown to lions with my own eyes.	Séð kristnum mönnum kastað fyrir ljón með eigin augum.
And I've seen Africans sell their own kind to Europeans.	Og ég hef séð Afríkubúa selja Evrópubúum sitt eigið fólk.
May I share one of the revelations of my 5,000 years?	Má ég deila með þér uppgötvun minni á 5000 ára ævi?
We're all slaves to something.	Við erum öll þrælar einhvers.
I, to eternity.	Ég er þræll eilífðarinnar.
You, to your convictions.	Þú ert þræll sannfæringar þinnar.
Others, to the color of their skin.	Aðrir lit eigin húðar.
All I ever wanted... was to see my kind granted their rightful place.	Það eina sem ég vildi var að sjá mitt fólk öðlast þá stöðu sem því ber.
But there are those of us, those like your friend Henry... who enjoy living in the dark.	En sumir okkar eins og Henry vinur þinn, njóta þess að vera í myrkrinu.
And as you're doubtless aware...	Og eins og þú vafalaust veist get ég ekki tortímt honum eða hann mér.
I cannot personally destroy him, nor he I. You, Mr. Lincoln... you could eliminate those last pockets of resistance... beginning with Henry Sturges himself.	Þú, herra Lincoln... þú gætir útrýmt þessum síðustu andspyrnuhópum og byrjað á Henry Sturges sjálfum.
All I ask... is for you to break your chains.	Það eina sem ég bið um er að þú slítir af þér hlekkina.
Kill your master.	Dreptu herra þinn.
Be free.	Vertu frjáls.
And if I refuse?	Hvað ef ég neita?
Then you go on your merry way.	Þá ferðu þína leið.
After I make you one of us, and... spoon-feed you your friend.	Eftir að ég geri þig einn af okkur og mata þig á vini þínum með skeið.
Now, a simple "Yes "Or "No "Will suffice.	Það nægir einfaldlega að svara já eða nei.
Kill Henry... save your friend.	Drepa Henry, bjarga vini þínum.
Feel free to take your time to decide.	Taktu þér tíma til að hugsa málið.
Five... four... three... two... one.	Fimm... fjórir... þrír... tveir... einn.
Come on!	Komið þið!
This way.	Þessa leið.
Miss Tubman, Miss Tubman.	Ungfrú Tubman.
We've been waiting for you.	Við höfum beðið þín.
Come quickly.	Komdu fljótt.
People getting killed every day.	Daglega er fólk myrt.
Slaves disappearing.	Þrælar hverfa.
Some people talk about monsters and demons.	Sumir tala um óvætti og djöfla.
Good morning.	Góðan daginn.
How can I assist you on this beautiful day?	Hvað get ég gert fyrir þig á þessum fagra degi?
We're looking for three men.	Við leitum að þremur mönnum.
You know, I did see someone run down that way.	Ég sá einhvern hlaupa þarna niður eftir.
You're welcome to come in if you like.	Þú ert velkomin inn ef þú vilt.
Our service is about to begin.	Messan er að hefjast.
Right, let's keep going.	Við skulum halda áfram.
I take it y 'all came from up North?	Þið eruð víst að norðan?
Yes, ma 'am.	Já, frú.
Well, I suggest you get back there as fast as you can.	Ég ræð ykkur að snúa aftur þangað eins fljótt og þið getið.
There's a war coming.	Stríðið er að hefjast.
A war for the soul of the country.	Stríðið um sál þessa lands.
Going to be all colors of blood spilled.	Alla vega litt blóð mun streyma.
Our nation was built on the backs of slaves.	Land okkar var byggt á bökum þræla.
Their labor, their blood.	Á striti þeirra og blóði.
More blood than you could possibly imagine.	Meira blóði en þið getið ímyndað ykkur.
I have seen this horror of the South firsthand.	Ég hef sjálfur séð þennan hrylling fyrir sunnan.
I say the need for peace outweighs the needs of the Blacks.	Ég segi að þörfin fyrir frið vegi meira en þarfir hinna svörtu.
I say that if the people of this great nation want slavery... then let them have it.	Ég segi að ef þessi mikla þjóð vill þrælahald megi hún fá það.
The demon of slavery is tearing our country apart.	Djöfull þrælahaldsins er að rífa land okkar í sundur.
We must stand up.	Við verðum að rísa upp.
We must stand strong and fight.	Vera staðfastir og berjast.
Fight for the very soul of our nation.	Berjast fyrir sjálfri sál þjóðar okkar.
Until every man is free, we are all slaves!	Þar til allir menn eru frjálsir erum við allir þrælar!
You cannot take on slavery, Abraham.	Þú getur ekki ráðist gegn þrælahaldi.
You cannot take on the whole South!	Þú getur ekki barist gegn öllum suðurríkjunum.
Why, because of Adam?	Vegna Adams?
No.	Nei.
Are you afraid of him?	Ertu hræddur við hann?
Because it is the only thing that has kept them sated for all these years... and you take that away, then no one is safe.	Þrælahald hefur satt hungur þeirra öll þessi ár og ef það er afnumið er enginn óhultur.
So you get to choose who lives and who dies.	Svo þú færð að velja hver lifir og hver deyr.
A great man once said... "What we do, we do not for ourselves... "Not for one man, but for the good of all mankind!"	Merkur maður sagði eitt sinn:, Það sem við gerum gerum við ekki fyrir okkur sjálf, ekki fyrir einn mann heldur í þágu mannkyns alls."
Not all mankind, Abraham.	Ekki mannkyns alls.
Abe? May I have my husband back?	Má ég fá eiginmann minn aftur?
He's all yours, Mrs. Lincoln.	Þú mátt hafa hann í friði.
Henry only saw the struggle his way.	Henry sá baráttuna út á sinn hátt.
But I began at last to see it another.	En ég fór loksins að sjá hana í öðru ljósi.
I would fight not with an ax... but with words and ideals.	Ég myndi ekki berjast með exi heldur með orðum og hugsjónum.
For a time... they proved a stronger weapon.	Því þær myndu reynast öflugra vopn.
Lincoln!	Lincoln!
I appear before you to take, in your presence... the oath prescribed by the Constitution of the United States... to be taken by the president... before he enters on the execution of this office.	Ég kem hér til að sverja í ykkar viðurvist, eiðinn sem stjórnarskrá Bandaríkjanna krefst að forsetinn sverji áður en hann hefst handa við þetta starf.
The question of slavery is better settled with a pen than with a sword.	Deilan um þrælahald verður betur útkljáð með penna en sverði.
Fire!	Skjóta!
Through twists of fate... I found myself at 50 years of age... the father of a nation that was tearing itself apart... while trying to be the father to a boy... not much older than I was when I lost my mother.	Örlögin höguðu því svo að fimmtugur að aldri var ég leiðtogi þjóðar sem var að slíta sjálfa sig í sundur meðan ég reyndi að vera faðir drengs sem var lítið eldri en ég þegar ég missti móður mína.
3,000 more dead.	Þrjú þúsund fallnir í viðbót.
