Step aside.	Farið frá.
Kinky overdosed.	Hann tók of stóran skammt.
He always was a greedy fucker.	Hann var svo gráðugur.
I saw it with my own eyes, man.	Ég sá hann sjálfur.
You smoke too much of that fucking crack!	Þú reykir of mikið krakk.
Shut the fuck up!	Haltu þér saman!
You twat!	Peningar.
Get the fucking money!	Taktu fjandans peningana!
Morty!	Morty!
This is dodgy.	Þetta er grunsamlegt.
That kid's talking about murder.	Strákurinn talar um morð.
He's talking shit.	Hann bullar.
Get to Brighton and finish the job.	Farðu til Brighton - og ljúktu við verkið.
It all smells a bit fishy.	Það er lykt af þessu.
I'll double your money.	Ég tvöfalda launin.
And 10 G for finding Kinky. That wasn't the fucking deal. Yes or no? Yes.	Þá það. Og ég vil 10 þúsund fyrir að finna Kinky.
Ambulance, please.	Sendið sjúkrabíl, takk.
185 Kirby House, King's Cross.	185 Kirby House, Kings Cross.
There's a dead boy.	Það er lík þar.
The door's open.	Dyrnar standa opnar.
My name? 185 Kirby House.	Nafnið mitt? 185 Kirby House.
Cody's gonna find her.	Cody finnur hana.
Look, I'm gonna freshen these teas up.	Ég ætla að sækja meira te.
They're cold.	Þetta er kalt.
Morty?	Morty?
Is that you?	Ert þetta þú?
Where you been hiding, then, eh?	Hvar hefurðu falið þig?
Fucking hell.	Fjandinn sjálfur.
What you doing down this neck of the woods?	Hvað ertu að gera hér?
Hello, Freddie.	Sæll, Freddie.
So... Mr. Mortimer.	Herra Mortimer.
Here, Morty, couldn't spare us a few quid, for old times'sake?	Ekki gætirðu séð af smáaur? Svona upp á gamla tíma.
You look well flushed, bruv.	Þú virðist eiga nóg.
Fuck me, he's loaded.	Fjandinn sjálfur, hann er múraður.
Here, couldn't make it 5, could you... mate?	Gætirðu haft það fimm pund, félagi?
Let's make it 10. Yeah.	Höfum það tíu.
Ten's... a nice... round number.	Tíu er... góð... tala.
What's the matter?	Hvað er að þér?
What's happening?	Hvað er um að vera?
Been away?	Sastu inni?
Yeah.	Já.
Ten fucking years.	Í tíu ár!
Going off?	Viltu meira?
Or do you need a red light?	Eða viltu rautt ljós?
Morty.	Hættu!
Enough.	Hann er búinn að fá nóg.
I'll tell you when he's had enough.	Ég ákveð hvenær hann hefur fengið nóg.
What the fuck is this?	Hvað á þetta að þýða?
But let's forget about all that.	Við skulum gleyma því öllu.
Let's have a cup of tea, Mr. Hurst.	Fáum okkur te, herra Hurst.
What the fuck?	Hver fjandinn?
I'm sorry about that.	Mér þykir þetta leitt.
I won't be around for a while.	Ég verð burtu um tíma.
It's me. Hey.	Þetta er ég.
Come on up.	Komdu upp.
I'll leave the door open.	Ég læt dyrnar standa opnar.
How's your day been so far?	Hvernig hefur gengið í dag?
Very fucking funny.	Rosalega ertu fyndinn.
Gene, who the fuck is Freddie?	Hver í fjandanum er Freddie?
He used to run with me, Morty and Jimmy in this real kamikaze firm.	Freddie tók þátt í glæfrafyrirtæki með okkur Morty og Jimmy.
In those days, we were headed up by this guy called Crazy Larry. Yeah.	Þá höfðum við stjóra sem var kallaður Óði Larry.
Got shot, didn't he?	Var hann ekki skotinn?
Always doing loads of drugs.	Alltaf að dæla í sig dópi.
Not worried about keeping a low profile.	Reyndi ekkert að láta lítið á sér bera.
I love you.	Ég elska ykkur.
No head.	Ekkert höfuð.
But things went a bit wrong.	En það varð smáklúður.
The guy Larry told to help him was Freddie Hurst.	Gaurinn sem Larry sendi til að hjálpa honum, var Freddie Hurst.
The total imbecile had fallen asleep at some traffic lights... in a drunken, drug-induced stupor.	Bjáninn var í drykkju - og dópvímu og sofnaði á umferðarljósum.
Morty was still shut up in the van with the headless body of Kilburn Jerry.	Morty var lokaður aftur í bílnum með hauslausu líkinu af Jerry.
Being black was even worse than being Irish.	Í þá daga var ennþá verra að vera svartur en að vera írskur.
They threw the book at Morty.	Morty var dæmdur.
Freddie got three years for aiding and abetting.	Freddie fékk þrjú ár fyrir að vera samsekur.
Morty did 10 years because Freddie Hurst fell asleep?	Afplánaði Morty tíu ár af því Freddie sofnaði?
But you, you fuck!	Þú. Mannfjandi.
Crazy Larry was gay.	Óði Larry var hommi.
He was never gay.	Hann var ekki hommi.
Larry used to say... Fucking females is for puffs.	Larry var vanur að segja... - að ríða kvenfólki er sönnun.
So who shot Crazy Larry? A boyfriend?	Hver skaut Óða Larry, einhver kærastinn?
Not for me. Listen, son.	Ekki fyrir mig.
Let me explain something to you.	Ég skal útskýra málið.
Freddie's in intensive care with a bit of a brain hemorrhage.	Freddie er í gjörgæslu með heilablæðingu.
You were there at the scene.	Þú varst á staðnum.
That's called joint venture.	Það kallast þátttaka.
Now, if Freddie dies, you're either in the dock with Morty... or you're in the witness box putting him away.	Ef Freddie deyr, lendir maður á bekknum með Morty eða í vitnastúkunni að vitna gegn honum.
Think about that.	Hugsaðu málið.
You know, I will have one of those.	Ég ætla að þiggja drykk.
All right, fellas?	Sælir, strákar.
Where's Duke?	Hvar er Duke?
I don't know.	Ég veit það ekki.
What do you mean?	Hvað meinarðu?
I don't know.	Farðu og finndu hann!
I thought he was here. Well, go and fucking find him.	Ætli hann sé ekki að skemmta sér á meðan við pössum þetta?
Gene, what the fuck am I gonna do about these Serbs?	Hvað á ég að gera varðandi þessa Serba?
Come here.	Komdu hingað.
I have something for you.	Ég er með dálítið handa þér.
You're gonna need one of these.	Þú þarft á þessu að halda.
Fuck me, Gene.	Fjandinn hafi það.
I fucking hope not.	Ég vona ekki.
Are you trying to scare the shit out of me?	Ertu að reyna að hræða úr mér líftóruna?
I mean, I fucking hate guns.	Ég hata byssur.
Although that one is really pretty.	En þessi er reyndar falleg.
Is that Second World War?	Er hún úr seinni heimstyrjöldinni?
Hey, point it upwards.	Miðaðu upp.
Oh, for fuck's sake.	Fjandinn sjálfur.
Here, let me see if it's loaded.	Má ég sjá hvort hún er hlaðin?
You look like you could do that blindfolded.	Þú virðist geta þetta með bundið fyrir augun.
I can, and I do.	Ég get það.
I find it very relaxing.	Það er svo róandi.
Good for meditation.	Gott fyrir hugleiðslu.
Meditation is concentrating the front of the mind with a mundane task... so the rest of the mind can find peace.	Hugleiðsla felst í að beita fremri hluta hugans að daglegri iðju svo hinn hlutinn finni ró.
And you find peace with guns.	Veita byssur þér ró?
Listen.	Stundum.
I know it's not your thing.	Það kemur fyrir.
But if you ever have to kill somebody, never ever tell a living soul.	Ég veit að þér er illa við það, en þurfirðu einhvern tímann að drepa einhvern, skaltu ekki segja það nokkrum manni.
Who is this?	Hver er þetta?
My name is Dragan.	Ég heiti Dragan.
How did you get this number?	Hvar fékkstu þetta númer?
Boatman Paul gave me your number, in the end.	Paul bátmaður gaf mér það, að lokum.
I believe you have some property that belongs to my employer... and you're the person I should talk to about the return of this cargo... stolen by your associate, the Duke.	Þú ert með eign sem tilheyrir yfirmanni mínum og þú ert sá sem ég tala við um skil á sendingu sem stolið var af félaga þínum, Duke.
Dragan, the Duke is nothing to do with me.	Duke vinnur ekki með mér.
Mr. Duke came to Amsterdam, used your name... said he worked for you.	Hann notaði nafn þitt í Amsterdam.
Are you listening?	Sagðist vinna fyrir þig.
Dragan...	Ertu að hlusta?
I've got an idea.	Ég er með hugmynd.
Why don't you come round for breakfast?	Viltu ekki koma í morgunmat?
I'll squeeze some orange juice, and we'll talk about this like adults.	Ég kreisti appelsínusafa, mala kaffi og við ræðum þetta mál.
How does that sound?	Hvað segirðu um það?
Sounds very hospitable.	Þú ert gestrisinn.
Do you know where I live?	Veistu hvar ég bý?
No.	Nei.
Well, fuck off, then.	Farðu þá í rassgat.
Duke's gone missing.	Duke er horfinn.
He's a fucking liability.	Hann er alltaf til vandræða.
The pigs are everywhere.	Og löggan er alls staðar.
This was meant to be easy.	Þetta átti ekki að vera neitt mál.
No sweat.	Engin vandræði.
Calm down, Gazza.	Rólegur, Gazza.
I'm sure Duke's just fine.	Duke hefur það örugglega fínt.
You've got 48 hours to find a buyer or I'm sending them back, okay? Now, listen.	Þú hefur 48 stundir til að finna kaupanda eða ég sendi þær til baka.
Nothing personal, but I don't trust you.	Það er ekki persónulegt, en ég tresysti hvorki þér né neinum öðrum fanti.
Listen, I just had a phone call from Gazza.	Gazza hringdi.
Being a cry-baby.	Hann var að væla.
Threatening to offload those pills in 48 hours.	Hótaði að losa sig við töflurnar eftir 48 stundir.
Between you and that gobshite Duke... he's promised Jimmy a bumper payday.	Hann lofaði Jimmy fúlgu fjár.
So get busy.	Svo þið ættuð að taka til hendinni.
I said to Jimmy I 'd try and...	Ég sagði Jimmy að ég myndi reyna...
He put yous together. You and Duke.	Hann leiddi ykkur Duke saman.
That's his job.	Það er hans starf.
If you two can't make music, he's gonna want his whack out either way.	Þótt þið getið ekki unnið saman, vill hann samt fá sinn hlut.
That's business. I hope you put this Dragan straight. Yeah.	Ég vona að þú hafir skýrt málið fyrir þessum Dragan.
I told him to fuck off.	Já, ég sagði honum að fara til andskotans.
What?	Hvað?
Please tell me you're fucking joking.	Segðu að þú sért að grínast.
Well, I am beginning to regret it now.	Nú er ég farinn að iðrast þess.
We've gotta find the Duke, find these fucking pills.	Við verðum að finna Duke. Finna þessar fjandans töflur.
We can't rely on these monkeys to call Gene.	Við getum ekki treyst á þessa apa til að hringja í Gene þegar þeim sýnist.
Maybe this Dragan geezer's already found the Duke... and done the business.	Kannski þessi Dragan náungi hafi fundið Duke og lokið sínu verki.
Yeah, well, there is someone I can call.	Ég get hringt í mann.
Keep looking.	Haldið áfram að leita.
Wait.	Bíddu.
You're gonna leave it to us?	Ætlarðu að láta okkur um leitina?
This Dragan geezer is phoning me.	Þessi Dragan hringir í mig.
I am the target.	Ég er í sigtinu.
And if we don't find the Duke, this, everything, all over.	Og ef við finnum ekki Duke, er þessu öllu lokið.
It's me. Sidney's mate.	Þetta er ég, vinur Sidneys.
Oh, hiya.	Sæll.
What took you so long to call?	Af hverju hefurðu ekki hringt fyrr?
I've been busy.	Ég hef verið upptekinn.
You sound sleepy.	Ertu nývöknuð?
Not long ago.	Já.
So when am I gonna see you?	Hvenær eigum við að hittast?
What are you doing now?	Hvað ertu að gera núna?
Nothing.	Ekkert.
No, I was just lying in bed, wondering what to do.	Ég lá bara í rúminu og hugsaði um hvað ég ætti að gera.
You still in bed?	Ertu enn í rúminu?
Yeah.	Já.
You lying there naked?	Ertu nakin?
I've got a little T-shirt on.	Nei, ég er í litlum bol.
But that's all.	Engu öðru.
Here, wait, listen to this.	Hlustaðu á þetta.
What's that?	Hvað er þetta?
Look at my nipples, standing up like little soldiers.	Sjá geirvörturnar, pinnstífar eins og litlir hermenn.
What is a girl to do?	Hvað er hægt að gera?
Tammy, why don't we meet up now? I'll book a table for lunch. St. Martin's Hotel.	Eigum við ekki að hittast og ég panta borð í hádeginu á hótel St.
Don't worry about a table.	Martins.
We'll have room service.	Gleymdu borðinu, við fáum herbergisþjónustu.
Yeah, okay.	Gott og vel.
One hour.	Eftir klukkustund.
Hang on.	Bíddu aðeins.
Oh, shit.	Fjandans.
Oh, leave it off, Sidney.	Hættu að hringja, Sidney.
He's driving me fucking mad.	Kemur hann nokkuð hingað?
We're not expecting Sidney, are we? He's too busy kissing Duke's arse.	Nei, hann er upptekinn við að sleikja sig upp við Duke.
Not round here, I hope.	Vonandi ekki hér nálægt.
Stay put.	Vertu kyrr.
Come on.	Svaraðu.
Hello, it's me.	Þetta er ég.
It's me. Shut up and listen.	Þegiðu og hlustaðu.
Duke's nephew is working down by Greenwich Market.	Sidney, frændi Dukes vinnur nálægt Greenwich-markaðinum.
Go and look.	Farðu og kannaðu málið.
Room service.	Herbergisþjónusta.
Look for that yellow Range Rover.	Leitaðu að gula jeppanum.
Your champagne, sir.	Kampavínið þitt.
I didn't order...	Ég pantaði ekkert...
One moment, Mr. Troop.	Augnablik, herra Troop.
I want to hear what this bastard has to say for himself.	Ég vil heyra hvað þessi fantur hefur sér til varnar.
I'm Jimmy's old colleague, Eddie Temple.	Ég er gamli félagi Jimmys, Eddie Temple.
Fuck!	Fjandinn!
He told you to locate my daughter.	Hann bað þig að finna dóttur mína, elta hana uppi eins og flækingshund.
Hunt her down like some lost mongrel. He said you asked for his help.	Hann sagði að þú hefðir beðið um aðstoð.
Mr. Troop could find anyone on the planet in 10 minutes flat.	Troop gæti fundið hvern sem er á tíu mínútum.
If you 'd laid a finger on my daughter, you 'd be over the edge like that.	Ef þú hefðir snert hana Charlotte mína, léti ég þig vaða á stundinni.
You 'd join that shit, Kinky... who thought he could take my 5 grand and fuck me over.	Þú færir sömu leið og hinn skíthællinn, Kinky sem hélt að hann gæti svikið mig og haft af mér 5 þúsund.
The audacity.	Að voga sér.
How fucking dare you?	Hvernig dirfistu að gera slíkt?
I've known Jimmy Price for 45 years.	Ég hef þekkt Jimmy Price í 45 ár.
It pays me to keep an eye on him.	Það borgar sig að hafa auga með honum.
Do you know what a remora fish is?	Veistu hvað dvalfiskur er?
Yes.	Já.
Oh, you do?	Svo þú veist það.
Well, Jimmy has been swimming in my slipstream all my fucking life.	Jimmy hefur synt í kjölfari mínu alla mína ævi.
I thought he might put some volatile psychopath on the job.	Ég hélt að hann hefði fengið uppstökkan brjálæðing í starfið.
But I've checked you out, son.	En ég hef spurst fyrir um þig.
