No, a different one.	Ég á við aðra.
Billy's get found dead everywhere.	Billyar finnast dauðir víða.
I'm going to need your help.	Ég þarf aðstoð þína.
Are you able?	Ertu fær?
If I can poison a producer with his own Quaaludes, I should say I'm equal to just about anything.	Ef ég get eitrað fyrir framleiðanda með smjörsýrutöflunum hans ætti ég að ráða við nánast hvað sem er.
Compared to most people, I'm a fucking Borgia Pope.	Samanborið við flest fólk er ég sifjaspellspáfi.
JORDAN: What do you intend to do about this Bosnian fucker?	Hvað ætlarðu að gera varðandi bosníska andskotann?
This Storbor?	Storbor?
MITCHEL: Kill him. Kill who hired him.	Drepa hann og þann sem réði hann.
We're gonna need a fuck of a lot of drugs.	Við munum þurfa helling af dópi.
JORDAN: You have found your man.	Þú fannst rétta manninn.
MITCHEL: Right.	Einmitt.
I am what I say I am.	Ég er heldur betur það sem ég segist vera.
( PEOPLE CHATTERING ) Lads!	Piltar!
I hear you've been looking for me.	Ég frétti að þú værir að leita að mér.
You have balls, my friend.	Þú ert hugaður, vinur.
I'll buy you a drink.	Ég býð þér í glas.
No, I want to do a deal.	Ég kom til að semja.
Did you find something at your house, huh?	Fannstu eitthvað heima hjá þér?
Yeah, why not.	Já, því ekki.
STORBOR: Yeah?	Já?
Yeah.	Já.
You ever heard of the Beatles?	Hefurðu hlustað eitthvað á Bítlana?
Niet.	Ætli það ekki.
John Lennon was me uncle.	John Lennon var frændi minn.
( STORBOR LAUGHING ) Who's this wanker?	Hvaða auli er þetta?
( SPEAKING BOSNIAN ) I love you.	Ég dýrka þig!
What did you want to talk about?	Um hvað vildirðu tala?
We talk or you're getting paid. Yeah. What does he mean, getting paid?	Við tölum um það sem þið fáið borgað.
Does everyone get this high?	Hvað meinar hann, fáum borgað?
What do you mean, getting paid?	Hvað meinarðu, fáum borgað?
As in, you do Gant, I'll double it.	Ég tvöfalda upphæðina.
Have you got the balls to kill Gant?	Hefurðu kjark til að drepa Gant?
I have killed babies.	Ég hef drepið smábörn.
( LAUGHING ) That's good to know.	Það er gott að vita.
( STORBOR GASPING ) Let it happen, mate.	Láttu það gerast, lagsi.
You're done.	Þú ert afgreiddur.
( CAR APPROACHING ) Mr Mitchel, look, I won't say anything!	Herra Mitchel, ég segi ekki neitt!
( GIGGLING ) Hello.	Halló?
Briony, where are you?	Briony, hvar ertu?
I'm in Paris, where else?	Auðvitað í París.
Good girl.	Góð stelpa.
Stay there, all right?	Vertu kyrr þar.
Breathe.	Andaðu.
( SPEAKING SPANISH ) Briony?	Augnablik. Briony...
( EXHALES ) ( DISCUSSION ON RADIO ) Well, well, well.	Andartak, herra minn. Hvar er Bri? Hvað er að sjá?
What lovely surprises.	En óvænt ánægja.
Oh, you have no fucking idea.	Ef þú bara vissir.
Thank you for coming in.	Takk fyrir að koma inn.
Would you get down there, please?	Viltu fara þangað niður?
What the fuck are you doing?	Hvern fjandann ertu að gera?
That's just dope, mate.	Þetta er bara dóp.
Right here.	Vinsamlegast.
( KNOCKING ON DOOR ) Yes?	Já?
How the fuck did you get in?	Hvernig í fjandanum komstu inn?
Your missus let me in.	Frúin hleypti mér inn.
I've got 60 grand here.	Ég er með 60 þúsund hér.
In this room.	Í þessu herbergi.
Get it.	Sæktu þau.
Don't open it.	Ekki opna hann.
Why not?	Því ekki?
Because there's a fucking gun in it.	Af því það er fjandans byssa.
Out you come.	Út úr skápnum.
Get into bed.	Leggstu á rúmið.
You and me could be great.	Við yrðum góðir saman.
People will remember us.	Fólk mun minnast okkar.
( SHUSHING ) It's funny what you remember.	Ég orti eitt sinn ljóð fyrir stúlku.
I wrote a poem for a girl once, she signed her name to it and gave it to her other boyfriend.	Hún skrifaði nafn sitt á það og gaf það hinum kærastanum sínum.
( TRAFFIC REPORT ON RADIO ) ( GRUNTING ) My client has no knowledge of any of these matters.	Skjólstæðingur minn veit ekkert um þessi mál.
At the time of the incident, my client was already in transit to the United States.	Þegar atvikið átti sér stað var skjól - stæðingur minn á leið til Bandaríkjanna.
Heard you 'd been looking for me.	Ég frétti að þú værir að leita að mér.
This is a matter for the London Metropolitan Police.	Þetta er mál borgar - lögreglunnar í London.
No further questions at this time. © © P @ rM!	Engar frekari spurningar að svo stöddu.
NdeR © P @ rM!	Rippað af........
NdeR M @ nkÖÖ 2010 Crime,Drama English USA, UK 103 272 28 1586 10620 utf-8 70 35 2013-08-11 1391 1/1 01:43:01,430 1.0 English	Žice! 1081 Icelandic 1.0 1/1 2011-06-11 01:32:52,402 USA, UK 103 Crime,Drama 2010 English 1 1268 0 7723 1 iso-8859-4 0
My name is Alice.	Ég heiti Alice.
I worked for Umbrella Corporation in a secret laboratory developing experimental viral weaponry.	Ég vann á leynilegri rannsóknastofu hjá Umbrella-fyrirtækinu við þróun vírusvopna í tilraunaskyni.
There was an incident.	Það varð slys.
A virus escaped.	Vírus slapp.
Everybody died.	Allir dóu.
Trouble was they didn't stay dead.	Vandinn var... að sá dauði var ekki varanlegur.
This was the start of an apocalypse that would sweep the entire world.	Það var upphaf að hamförum sem myndu hafa áhrif á allan heiminn.
The men responsible for this disaster took refuge underground and continued to experiment with the deadly T-Virus.	Þeir sem báru ábyrgð á þessu slysi leituðu skjóls neðanjarðar og héldu áfram tilraunum með hinn banvæna T-vírus.
They felt secure in their high-tech fortress.	Þeir töldu sig óhulta í hátæknivirkjum sínum.
But they were wrong.	En það var rangt.
Biohazard terminated.	FJÓRUM ÁRUM SÍĐAR Lífrænni hættu tortrýmt.
Central Shibuya.	Miðstöð Shibuya...
Confirm?	Staðfesting?
I confirm.	Ég staðfesti.
Nice shooting.	Laglegt skot.
And I lead three to one.	Ég hef vinninginn, þrír á móti einum.
The night is young.	Nóttin er ung og enn eru margir fiskar...
Plenty more fish in the- Toshi, are you okay?	Toshi, er allt í lagi?
Toshi, where are you?	Toshi, hvar ertu?
Sentry three respond.	Við misstum sambandið.
We lost contact with another one.	Wesker stjórnarformaður.
Report.	Lát heyra.
Sir, a half-hour ago, we began to lose contact with some of our perimeter sentries.	Fyrir hálftíma rofnaði samband við nokkra af vörðunum.
How many have we lost?	Hve marga misstum við?
All of them.	Alla.
And you waited 30 minutes to tell me?	Beiðstu í hálftíma með að segja mér það?
We thought it was a communications problem.	Ég hélt að það væri truflun í kerfinu, ég vildi ekki trufla þig.
I didn't want to disturb you. Give me the surface gate.	Ég vil fá hliðið á yfirborðinu.
This is Chairman Wesker.: Sir.	Þetta er Wesker stjórnarformaður.
Report your situation.	Skýrðu frá stöðu ykkar.
Everything is quiet here.	Hér er allt rólegt.
No sign of intruders?	Engin merki um innrás?
Hotaka.	Hotaka!
We have movement.	Það er hreyfing.
Multiple targets.	Mörg skotmörk.
Surface gate, identify targets.	Berið kennsl á mörkin.
Repeat, identify targets.	Ég endurtek: Berið kennsl á mörkin.
Sir, Elevator 2 is moving.	Lyfta númer tvö er á ferð.
I want security at that entrance.	Setjið öryggisgæslu við aðalinnganginn.
Hey, boys.	Sælir, strákar.
Is that any way to treat a Lady?	Komið þið svona fram við dömu?
Tell security to flood the main entrance with nerve gas.	Láttu dreifa taugagasi við aðalinnganginn.
Sir, our men are still up there.	Menn okkar eru ennþá þarna uppi.
Any more questions?	Fleiri spurningar?
Intruders in Sectors 1 through 5, 7 and 8.	Innrás á svæði eitt til fimm, sjö og átta.
Reports of gunfire in Sectors 10 and 11.	Fréttir af skothríð á svæðum 10 og 11.
Stay at your stations.	Verið kyrrir á ykkar stað.
All security protocols are now in full effect.	Allar öryggisráðstafanir eru nýttar.
Lock down all elevators. Seal all internal blast doors.	Læsið öllum lyftum og brynvörðum hurðum.
And I want damage reports. Come on, move. Go, go.	Og ég vil fá fréttir af skaða.
Turbulence.	Ókyrrð, ókyrrð.
Turbulence.	Ókyrrð.
Turb- Any last words?	Viltu segja eitthvað að lokum?
How nice to finally meet the real you.	En gaman að hitta loksins hina eina sönnu.
Hurts, doesn't it?	Er þetta ekki sárt?
Well, that's just the start of the bad news.	Það er bara upphafið á slæmu fréttunum.
All those powers of yours: Speed, strength, accelerated healing. Well, you can kiss all those goodbye.	Allir þessir kraftar þínir, hraði, styrkur, skjót heilun... þú getur gleymt því öllu.
What have you done?	Hvað gerðirðu?
The serum I have injected you with is neutralizing the T cells within your body.	Vökvinn sem ég sprautaði í þig veikir T-frumurnar í líkama þínum.
For killing you?	Þakka þér fyrir. Fyrir að drepa þig?
For making me human again. Pull up.	Fyrir að gera mig aftur mennska.
Terrain. Terrain.	Hækka flugið.
Pull up.	Land.
This is Arcadia, broadcasting on the emergency frequency.	Þetta er útsending Arcadiu á neyðarbylgju.
There is no infection.	Það er engin sýking.
We offer safety and security, food and shelter.	Við bjóðum öryggi og v örn, mat og skjól.
This is Arcadia, broadcasting on the emergency frequency.	Sex mánuðum síðar Þetta er útsending Arcadiu á neyðarbylgju.
There is no infection. While I took revenge on Umbrella, the last handful of survivors took a chopper to safety.	Meðan ég k om fram hefndum á Umbrella fóru þeir síðustu sem k omust af í þyrlu og leituðu skjóls.
They were headed for a town in Alaska called Arcadia.	Þeir settu stefnuna á bæ í Alaska sem heitir Arcadia.
We 'd received radio transmissions from there.	Við höfðum heyrt útsendingar frá þeim.
They offered food and shelter, safety and security.	Þeir buðu mat og skjól, öryggi og v örn.
A haven, free of infection.	Athvarf laust við sýkingu.
A hundred and seventy-seven days without signs of life.	3. maí kl.16.00 177 dagar án merkis um líf.
I am at 58.37 degrees north, 134.58 degrees west.	Ég er stödd á 58,37 gráðum norður og 134,58 gráðum vestur.
Closing in on the coordinates for Arcadia, but no signs of it on any map.	Ég nálgast uppgefna legu Arcadia en bærinn er ekki merktur á neinu korti.
I hope Claire and the others made it.	Ég vona að Claire og hin nái þangað.
You're not coming?	Ætlarðu ekki að koma?
Take care of the others.	Annastu hin.
Good luck, K-Mart.	Gangi þér vel, K-Mart.
Claire.	Claire.
May 3rd. 1930 hours.	3. maí kl.19.30 Arcadia.
Arcadia. No such place exists.	Bærinn er ekki til.
Just an empty field.	Bara auður akur.
And a beach.	Og strönd.
But we all heard the transmissions.	En við heyrðum öll útsendingarnar.
Someone must have sent them.	Einhver hefur sent þær.
Someone must have brought all these people here.	Einhver hefur kallað allt þetta fólk hingað.
But why?	En hvers vegna?
And where did they go?	Og hvert fór það?
Day 177.	Dagur 177.
Signing off.	Upptöku lokið.
I don't know if I can do this much longer.	Ég veit ekki hvað ég get haldið þessu áfram lengi.
What if I am the last one?	Hvað ef ég er sú síðasta?
What if there is no one else?	Hvað ef það er enginn annar?
No one to watch these tapes.	Enginn til að horfa á þessar upptökur.
Is this my punishment for letting all this happen? Hey.	Er þetta refsing fyrir að láta þetta allt gerast?
Wait.	Bíddu!
Wait, please.	Bíddu!
Stop. Hello.	Stansaðu!
Hello?	Halló!
Answer me.	Svaraðu mér.
Hey, hey. It's okay.	Þetta er allt í lagi.
Sorry about that.	Fyrirgefðu þetta.
But I had to get this thing off of you.	En ég varð að ná þessu af þér.
What is this?	Hvað er þetta?
Who did this to you?	Hver gerði þetta?
Do you even know who I am?	Veistu nokkuð hver ég er?
We met in the Nevada desert 18 months ago.	Við hittumst í eyðimörkinni í Nevada fyrir 18 mánuðum.
Any of this sound familiar?	Hljómar það kunnuglega?
Mikey, Carlos, L.J.?	Mikey, Carlos, L. J?
K-Mart?	K-Mart?
You left in a helicopter with a group of survivors headed for Alaska.	Þú fórst í þyrlu með hópi af fólki á leið til Alsaka.
Arcadia, remember?	Arcadia, manstu?
May 4th, 0800 hours. Potting a course for Prince Rupert in British Columbia.	Arcadia, manstu? 4. maí kl. 08.00 Kortlegg leið fyrir Rupert prins í Bresku Kolumbíu.
I will pass Vancouver, drop down to Seattle.	Ég flýg yfir Vancouver og stefni á Seattle.
Your name... is Alice, right?	Alice, er það ekki?
She speaks.	Hún talar.
Look, I am sorry about back there.	Mér þykir þetta leitt.
I don't know what happened.	Ég veit ekki hvað gerðist.
I don't remember anything.	Ég man ekki neitt.
I don't even know my name.	Ég man ekki einu sinni nafnið mitt.
It's Claire.	Þú heitir Claire.
Claire Redfield.	Claire Redfield.
Claire?	Claire?
Sound familiar?	Hljómar það kunnuglega?
Not really.	Eiginlega ekki.
You will get used to it.	Þú venst því.
Perhaps you can cut me loose now.	Þú gætir kannski leyst mig núna.
We should get to know each other a little better first.	Fyrst ættum við að kynnast aðeins betur.
City of Angels.	Borg englanna.
May 6th, 1800 hours, Los Angeles.	6. maí, kl. 18.00, Los Angeles.
No signs of life.	Engin merki um líf.
Not even the undead.	Ekki einu sinni hina lifandi dauðu.
Some must have burnt with the city.	Einhverjir hafa víst brunnið í borginni.
But what about the rest?	En hvað með hina?
Oh, my God.	Guð minn góður.
What?	Hvað?
Look over there.	Sjáðu þarna.
It's a plane.	Fjandans.
It's a plane.	Þetta er flugvél!
I knew it.	Ég vissi það.
I told you they would come.	HÁLPlĐ OKKUR Ég sagði að þeir myndu koma.
Hey, we're down here.	Við erum hérna niðri!
Hello. No way we're getting in there.	Við getum ekki farið þarna inn.
Where is he going?	Hvað er hann að gera?
Why is he flying away?	Af hverju fer hann?
It's not flying away.	Vélin fer ekki, hún hnitar hringa.
It's circling.	Hnitar hringa?
Circling? Damn, he's low.	Rosalega flýgur hann lágt.
Down.	Niður!
What the hell is he doing? He's going to land.	Hvern fjandann er hann að gera?
He's going to land.	Hann lendir!
Get the stuff out of the way.	Fjarlægið allt dót.
Land?	Fljótir!
