Good girl.	Svona, já.
I guess people like to read about the things that they want the most and experience the least.	Ætli fólk vilji ekki helst lesa um eitthvað sem það vill hvað mest en upplifir hvað minnst.
Your son... where is he now?	Sonur þinn. Hvar er hann núna?
Nowhere that you would understand, Dolores.	Þú myndir ekki skilja hvar, Dolores.
Perhaps that's why I enjoy our conversations so much.	Kannski er það þess vegna sem ég nýt samtala okkar svona.
Analysis.	Greining.
Why did you ask me about my son?	Hvers vegna spurðir þú mig um son minn?
We've been talking for some duration and I haven't asked you a personal question.	Við höfum rætt saman um hríð og ég hef ekki spurt þig persónulegra spurninga.
Personal questions are an ingratiating scheme.	Persónulegar spurningar eru smjaðurslegt skema.
I see.	Ég skil.
Continue, Dolores."	Haltu áfram, Dolores.
Was I the same when I got up this morning?	Var ég eins þegar ég vaknaði í morgun?
I almost think I can remember feeling a little different.	Mig rámar næstum því í að hafa liðið örlítið öðruvísi.
But if I'm not the same, the next question is... who in the world am I?"	En ef ég er ekki sú sama er næsta spurning, hver í veröldinni er ég?
Do you remember?	Manstu?
No! Why don't we reacquaint ourselves, Dolores?	Hvers vegna rifjum við ekki upp gömul kynni, Dolores?
Start at the beginning.	Byrjum á byrjuninni.
Thank you so much. Morning, cowboy.	Góðan daginn, kúreki.
Move it! Let's go.	Áfram með þig.
Stand right here.	Stattu þarna.
Shit.	Fjandinn.
You really ought to talk to someone about your poster, Horace.	Þú ættir að tala við einhvern um veggspjaldið þitt, Horace.
That likeness is a crime in itself.	Þessi líkindi eru glæpur í sjálfu sér.
I'm gonna tend to my nag.	Ég ætla að snúa mér aftur að bikkjunni minni.
You deal with him.	Þú sérð um hann.
Ready my pay. No, no. Get up there.	Gerðu gjaldið mitt tilbúið.
Don't no man shoot, or I'll send her to unction.	Ekki skjóta annars kála ég henni.
Any of you don't believe it are welcome to read my biography there. Come on!	Ef einhver trúir mér ekki er honum velkomið að lesa ævisöguna mína þarna.
Let's go.	Áfram nú.
No! Oh, I bet you're juicy as a freshwater clam.	Þú ert örugglega jafn safarík og ferskvatnsskeldýr.
You okay?	Er allt í lagi?
Nice shot, amigo.	Vel skotið, amigo.
You got grit.	Það er töggur í þér.
Hey, I'm riding out tonight.	Ég held út í nótt.
Looking for desperados.	Í leit að útlögum.
Could cut you in if you're amenable.	Ég gæti mynstrað þig með ef þú hefur áhuga.
Someone get the minister down here for what's left of the deputy.	Einhver sæki prestinn hingað fyrir afganginn af löggæslumanninum.
Sure I can't tempt you inside?	Get ég örugglega ekki tælt þig inn?
Just to express my gratitude.	Bara til að sýna þakklæti mitt.
Holy shit.	Fjandinn sjálfur.
You popped your cherry.	Hann afmeyjaði þig.
I thought you said we couldn't get shot.	Sagðirðu ekki að við gætum ekki orðið fyrir skoti?
Yeah, well, we can't get killed. Wouldn't be much of a game if they can't shoot back.	Það er ekki hægt að drepa okkur en þetta er ekki spennandi leikur ef þeir geta ekki skotið á móti.
But how do you feel, hmm?	Segðu mér hvernig þér líður.
Trust me, you will thank me after you've been married to my sister for a year.	Treystu mér, þú átt eftir að þakka mér fyrir eftir að hafa verið giftur systur minni í ár.
Actually, I have something different in mind.	Reyndar hef ég svolítið annað í huga.
What?	Hvað?
That?	Þetta.
Well, you've been preaching nonstop about all the narratives in the park, but all you've done since we've arrived is fuck and drink, so...	Þú hefur predikað látlaust um alla söguþræðina í garðinum en það eina sem þú hefir gert síðan við komum er að ríða og drekka.
I'm waiting for the good stuff. This bounty is...	Þessar mannaveiðar er barnalegt drasl.
JV shit. Then stay here. I want a little adventure.	Bíddu þá bara hér, ég ætla í smá ævintýri.
I've been looking for you.	Ég hef leitað þín.
I got a late start this morning.	Ég fór seint á fætur í morgun.
Didn't get much sleep last night.	Ég svaf lítið í nótt.
Forgive me if I'm not sympathetic to the fluctuations of your sleep cycle, Mr. Lowe.	Afsakaðu að ég sýni ekki sveiflum í svefnferli þínu mikla samúð, hr. Lowe.
Ford taking over the narrative launch at the 11th hour has made the board... uneasy.	Síðbúin yfirtaka Fords á frásagnarkynningunni hefur vakið ugg hjá stjórninni.
Just the board, huh?	Einungis stjórninni?
I specifically asked you about whether Ford was going to be a problem, and you assured me he wasn't.	Ég spurði þig sérstaklega hvort Ford yrði vandamál og þú fullvissaðir mig um að svo yrði ekki.
Well, I can't tell you what I don't know.	Ég get ekki sagt þér það sem ég ekki veit.
Well, here's what I know.	Þetta er það sem ég veit.
As of this morning, Ford's carved out a huge swath of the park for whatever storyline he's cooking up and thrown half of the existing storylines into disarray.	Frá og með þessum morgni lokaði Ford stórum hluta garðsins fyrir þessa frásögn sem hann er að kokka upp. Helmingi allra núverandi söguþráða hefur verið riðlað.
Is there anything I can do?	Get ég eitthvað gert?
You tell me.	Seg þú mér það.
I asked you point-blank if the problem with the update was resolved.	Ég spurði þig hreint út hvort vandamálið með uppfærslurnar hefði verið leyst.
It is.	Það var leyst.
Then why are your people still pulling hosts for follow-up?	Hvers vegna er þá enn verið að innkalla veitendur í eftirlit?
Get your house in order, Bernard.	Komdu reglu á hlutina hjá þér, Bernard.
And if there is a problem, I strongly suggest you tell me.	Og ef það er eitthvað að legg ég eindregið til að þú látir mig vita.
Drop a new bookmark and resume history.	Settu inn nýtt bókamerki og haltu áfram með söguna.
Walter's intent on relieving the milkmaid of her unmentionables.	Walter er staðráðinn í losa mjólkurmeyna við hennar ónefnalega.
Switch to analysis.	Skiptu yfir í greiningu.
You didn't report the incident?	Gafstu ekki skýrslu um þetta atvik?
Unit self-corrected within the acceptable window.	Tækið sjálfleiðrétti sig innan leyfilegs ramma.
Right.	Einmitt.
Then he self-corrected a fucking milk bottle into your skull.	Sjálfleiðrétti mjólkurpela inn í höfuðkúpuna á þér.
It's amazing how resilient the hosts are.	Það er ótrúlegt hversu þrautseigir veitendurnir eru.
You were supposed to have purged his memory on the last cycle.	Þið áttuð að þurrka minni hans út í síðustu víxlun.
I will, but Rebus here was the last host to interact with Walter.	En Rebus var síðasti veitandinn sem átti samskipti við Walter.
Look at this.	Líttu á þetta.
Any for you?	Eitthvað handa þér?
Who said that?	Hver sagði það?
Who's saying that?	Hver segir þetta?
Don't you talk to me that way.	Ég heyri ekki í þér.
I can't hear you.	Sérðu þetta?
He's talking to someone.	Hann talar við einhvern.
He carries on practically an entire conversation.	Hann klárar nánast heilt samtal.
I need more milk, Arnold.	Ég þarf meiri mjólk, Arnold.
Who's Arnold?	Hver er Arnold?
They're designed to play off aberrant behavior.	Þeir eru hannaðir til að spinna út frá andstyggilegri hegðun.
He lets the other three go.	Hann lætur hina þrjá í friði.
I pulled the narrative logs.	Ég kannaði frásagnarskrárnar.
All six of these hosts were part of storylines over the years in which they killed Walter.	Allir sex þessara veitenda voru hluti af söguþráðum í gegnum árin þar sem þeir drápu Walter.
It's like he was holding a grudge.	Það er eins og hann hafi verið að hefna sín.
It's a stray.	Það er flakkari.
QA needs a tag team to go track it.	Gæðavottun þarf aðgerðateymi til að elta hann.
Go.	Drífðu þig.
Handle the stray.	Sjáðu um flakkarann.
Do something that's actually in your job description.	Gerðu eitthvað sem er í raun í starfslýsingunni þinni.
The last thing we need is Theresa storming down here and seeing this.	Það síðasta sem við þurfum er að Theresa stormi hingað niður og sjái þetta.
Maybe it's the company.	Kannski er það félagsskapurinn.
You know, if you wanted to play cowboy, you could've just used your employee discount.	Ef þig langaði bara í kúrekaleik hefðirðu bara getað notað starfsmannafsláttinn.
The only thing stopping the hosts from hacking us to pieces is one line of your code.	Það eina sem kemur í veg fyrir að veitendurnir hakki okkur í spað er ein lína í kóðanum þínum.
No offense, but I sleep with this.	Það er ekkert illa meint en ég sef með þetta.
I bet you do.	Það er ég viss um.
Morning, Samuel.	Daginn, Samuel.
You and your dickless associate proposing to engage me in a gun battle?	Ætlið þið skaufalausi félagi þinn að há byssubardaga við mig?
Well, I 'd challenge you to a fistfight, but the way I heard it, you only like to tussle with working women.	Ég myndi skora á þig í slagsmál en mér skilst að þú kjósir heldur að tuska kvenfólkið til.
Is he dead?	Er hann dauður?
Dead enough.	Nógu dauður.
Why are we going to handcuff a dead man?	Hvers vegna handjárnum við dauðan mann?
Don't want someone walking off with him.	Ég vil ekki að einhver fari neitt með hann.
That's not a man anymore.	Hann er ekki maður lengur.
That's merchandise. $ 500 worth.	Hann er varningur. 500 dala virði.
All right, which of you derelicts hitched a dead body outside my saloon?	Jæja, hver ykkar slóðanna stillti upp líki fyrir utan krána mína?
My apologies, ma 'am.	Ég biðst afsökunar, fröken.
I figured it was preferable to bringing him inside.	Mér fannst það ákjósanlegra en að koma með hann inn.
Here.	Hérna.
For your troubles.	Fyrir ómakið.
Oh, you're new.	Þú ert nýr.
Not much of a rind on you.	Ekki beint harður á þér skrápurinn.
I'll give you a discount.	Ég skal gefa þér afslátt.
Do you mind waiting on that drink a bit?	Er þér sama að bíða aðeins með drykkinn?
Don't mind me.	Ekki fást um mig.
Just trying to look chivalrous.	Ég er bara að reyna að sýnast drenglundaður.
You came back.	Þú komst aftur.
I told you I would.	Ég sagðist ætla að gera það.
You gonna tell me where you been?	Ætlarðu að segja mér hvar þú hefur verið?
Just... away.	Bara í burtu...
You know if I could stay right here with you, I would.	Ef ég gæti haldið kyrru fyrir hér hjá þér myndi ég gera það.
What if I don't want to stay here?	Hvað ef ég vil ekki halda kyrru fyrir hér?
It's just sometimes I feel like the world out there is calling me... whispering, "There's something more."	Stundum finnst mér að heimurinn þarna úti kalli á mig, hvísli að mér að það sé til eitthvað meira.
You've travelled all over these parts.	Þú hefur ferðast um allar jarðir.
Isn't there anywhere we could go?	Gætum við ekki farið eitthvað?
Well, there is a place I heard about down south... where the mountains meet the sea.	Ég frétti af stað fyrir sunnan. Þar sem fjöllin mæta hafinu.
They say the water's so pure there, it'll wash the past clean off you.	Þeir segja að vatnið sé svo hreint þar að það þvoi algjörlega af manni fortíðina.
And you can start again.	Þar getur maður byrjað aftur. Mig langar þangað með þér.
I 'd like to go there with you. Well, someday, I'll take you.	Kannski fer ég einhvern daginn með þig þangað.
Someday.	Einhvern daginn...
Something wrong?	Er eitthvað að?
You said someday.	Þú sagðir "einhvern daginn".
Not today or tomorrow or next week.	Ekki í dag, á morgun eða í næstu viku.
Just someday."	Bara einhvern daginn.
Someday "sounds a lot like the thing people say when they actually mean" never."	Það hljómar mun meira eins og eitthvað sem fólk segir þegar það meinar í raun aldrei.
Let's not go someday, Teddy.	Gerum þetta ekki einhvern daginn, Teddy.
Let's go now.	Förum núna.
Before I met you, Dolores, I was a different man.	Áður en ég hitti þig, Dolores, var ég annar maður.
And I got some reckoning to do before I can deserve a woman like you.	Ég þarf líka að útkjá ýmislegt áður en ég á konu eins og þig skilið.
But I'm close.	En ég er ekki fjarri því.
I'm close to making things right.	Ég er nálægt því að ná öllu á réttan kjöl.
And someday soon, we will have the life we've both been dreaming of.	Einhvern daginn fljótlega getum við bæði lifað því lífi sem okkur hefur dreymt um.
