Affirmative.	Staðfest.
Nothing!	Ekkert!
Say it!	Segðu það.
Nothing.	Ekkert.
Say it!	Segðu það!
You played yourself!	Þ ú spilaðir sjálfur.
He's a top-level executive.	Hann er í æðstu stöðu.
I 'd have lost my job!	Ég hefði misst starfið!
But you would've still had your face!	En þú hefðir haldið virðingunni.
Shut up, Doodle-tooth.	Þegi þú, Teiknitönn.
You're no help.	Það er ekkert gagn að þér.
Look at your three-dollar jeans, two-dollar shirt and tie!	Að sjá tveggja dala skyrtuna og þriggja dala buxur og bindi!
What's that, a 12-dollar outfit?	Kosta fötin þín 12 dali?
And a bottlecap for a hat!	Og flöskutappi fyrir húfu.
That shit look like a yarmulke with a brim!	Þetta er eins og gyðingakolla með deri.
Changing your image with a job ain't gonna get you no girl!	Ef þú breytir ímyndinni með vinnu nærðu aldrei í stelpu.
A job ain't nothing but work!	Starf er bara vinna!
Besides, she's a money-hungry ho!	Og hún er ágjörn hóra!
Why do you think her eyes are green?	Þess vegna eru augu hennar græn.
No, she's not.	Hún er það ekki.
Shut up.	Þegiðu.
Doodle-tooth.	Teiknitönn.
Call me...	Kallaðu mig...
My breath...	Andardráttur minn...
That's kind of funny.	Bara sniðugt.
You bottle...	Þ ú ert með flösku...
I said, shut up!	Þegiðu, sagði ég.
Thank you very much for helping me with the investigation.	Þakka þér fyrir að hjálpa mér við rannsóknina.
Tell me if I can be of any more help.	Segðu mér hvort ég get gert eitthvað fleira.
Actually, there is one thing that you can do for me.	Það er dálítið sem þú getur gert fyrir mig.
Grocery list.	Innkaupalisti.
I'm looking for Chris Fields?	Ég leita að Chris Fields.
You know him?	Þekkirðu hann?
He's a good worker.	Hann er góður starfsmaður.
A real asset to the company.	Góður kostur fyrir fyrirtækið.
Don't know what we 'd do without him.	Við gætum lítið gert án hans.
Do you know where he is?	Veistu hvar hann er?
Would you mind if I...?	Væri þér sama þótt ég?
Wanna use my office?	Viltu nota skrifstofuna mína?
Would you?	Má ég?
Go ahead.	Gerðu svo vel.
Lieutenant Walsh.	Walsh aðalfulltrúi.
Nice to meet you.	Gleður mig að kynnast þér.
He wants to talk to you.	Hann vill tala við þig.
A few questions.	Nokkrar spurningar.
About what?	Um hvað?
Don't worry.	Kvíddu engu.
Life.	Lífið.
How you doing, Chris?	Hvernig líður þér, Chris?
Not bad.	Bara vel.
How do you like this office?	Hvernig líkar þér skrifstofan?
It's great.	Hún er frábær.
Nothing.	Ekkert.
He just asked me a bunch of questions about the mailroom.	Hann spurði mig bara margs um póststofuna.
Did he ask anything about me?	Spurði hann þig um mig?
A couple of things.	Nokkurra spurninga.
What did he ask?	Um hvað spurði hann?
Just who you were.	Hver þú værir.
What did you say?	Hvað sagðirðu?
Nothing!	Ekkert.
I played dumb.	Ég þóttist heimskur.
I knew the cops would ffnd out.	Ég vissi að löggan kæmist að þessu.
Thfs fs gettfng way out of hand...	Þetta fer algerlega úr böndunum...
Lfsten, lfsten.	Hlustaðu á mig.
You dfd real good.	Þ ú stóðst þig vel.
Dont worry.	Kvíddu engu.
Just go home and III take care of ft, okay?	Farðu heim, ég sé um þetta.
All rfght.	Allt í lagi.
Sasha!	Sasha!
The things we did aren't even in books!	Því sem við gerðum er ekki hægt að lýsa.
She had a set of headlights...	Brjóstin á henni...
You've got to be careful of who you take to bed!	Gættu þín á því hjá hverjum þú sefur.
There are diseases!	Það ganga sjúkdómar!
Only the guys who aren't getting laid are thinking about what they can get.	Þeir einir sem fá ekki drátt hugsa um það sem þeir geta fengið.
Right, fellas?	Ekki satt, strákar?
Oh, you absolutely right, Mr. Man.	Laukrétt, meistari.
Hi!	Hæ!
We 'd like to see your jewels, please.	Okkur langar að sjá skartgripina þína.
What jewel is it that you 'd like to see?	Hvaða skartgrip viljið þið sjá?
That one.	Þennan.
This one?	Þennan?
No, the big one.	Þennan stóra.
I likes them big.	Ég vil hafa þá stóra.
I see.	Ég skil.
All right.	Allt í lagi.
Look at this!	Sjáið.
It's the cutest thing.	Mikið er þetta sætt.
Let me see it!	Má ég sjá?
Stop, you act like a little mosquito.	Hættu, þú lætur eins og bitmý.
You didn't say that last night.	Annað sagðirðu í nótt.
Little Miss Thing, you were a mosquito somewhere else.	Litla ungfrú hlutur, þú varst bitmý annars staðar.
Anyways, how much is something like this? Well, that ring, sir, is $ 3000.	Hvað um það, hvað fæst fyrir slíkan grip? 3000 dalir fyrir hringinn.
Do you like it?	Líkar þér hann?
Like it?	Líkar hann?
I loves it!	Ég dái hann.
Excuse me.	Hafðu mig afsakaðan.
Sure.	Vissulega.
I gotta talk to my husband first.	Fyrst verð ég að tala við bóndann.
Get a haircut.	Láttu klippa þig.
Excuse me, husband!	Afsakaðu mig, bóndi!
Sometimes I feel like a nut, sometimes I don't!	Stundum finnst mér ég hneta og stundum ekki.
Sometimes I feel like slapping you!	Stundum langar mig að berja þig!
Husband said I could put it on my Dynasty Club Card.	Bóndinn segir að ég megi setja það á Dynasty-klúbbkortið mitt.
Great.	Frábært.
He's so good to me.	Hann er svo góður við mig.
Now, what you whining about?	Hvað ertu nú að kveina?
You hit me!	Þ ú barðir mig!
There you are.	Gerðu svo vel.
Oh, of course, I will need to see a driver's license.	Ég þarf vitaskuld að fá að sjá ökuskírteini.
Look, you gave me your cold!	Þ ú smitaðir mig af kvefinu!
Run out the store every time I open my mouth?	Á ég kannski að hlaupa út hvenær sem ég opna munninn?
Here you go.	Gerðu svo vel.
Pardon me!	Afsakaðu.
Why don't you just read it to me?	Viltu ekki lesa þetta fyrir mig?
Zero, six, nine, one, three D - l-C-K.	Núll, sex, níu, einn, þrír, D-l-C-K.
Expires whenever.	Rennur einhvern tímann út.
There you are, gentlemen.	Gerið svo vel, herrar mínir.
Enjoy your ring.	Hafið ánægju af hringnum.
Ain't he so sweet?	Mikið er hann indæll.
I'm sorry.	Fyrirgefðu.
Did we get you?	Fór þetta á þig?
No, no.	Nei, nei.
Bye, doughboy.	Bless, dáti.
We got stuck!	Við erum fastir.
Bye-bye!	Bless-bless.
Bye! Hope you wash your face!	Vonandi þværðu þér í framan!
Now that shit was sweet!	Þetta var indæll óþverri.
We could sell that and get $ 100. $ 100?	Við getum selt þetta á 100 dali. 100?
That's crackhead prices!	Það er dópistaverð!
I'm keeping it.	Ég ætla að halda honum.
For her?	Handa henni?
Yeah.	Já.
You better get that girl a mood ring.	Gefðu henni stemmningarhring.
Then get me a leather jacket.	Láttu mig fá leðurjakka.
Just a jacket.	Bara jakka.
And a hat.	Og hatt.
And a hat.	Og hatt.
No.	Nei.
And a shirt!	Og skyrtu!
And a tigerskin blanket.	Og teppi með tígurmynstri.
And some snakeskin drawers.	Og slönguskinnsnærbuxur.
Take a look at that.	SAMÞ YKKT SAMÞ YKKT Líttu á þetta.
Mo ' Money! Mo ' Money!	SAMÞ YKKT Meiri aurar!
Mo ' Money! Amber-Poo?	Meiri aurar! Amber-Poo?
Open the door.	Opnaðu.
It's Tom.	Þetta er Tom.
Go away!	Burt með þig!
Amber, open the door!	Amber, opnaðu dyrnar.
I just wanna talk to you!	Mig langar að tala við þig.
I have nothing to say.	Ég vil ekkert segja.
He doesn't treat me like a piece of shit!	Hann er mér góður og kemur ekki fram við mig eins og skítaklessu.
I've got a joke for you.	Ég kann brandara.
What does a man with a one-inch penis have for breakfast?	Hvað fær sá í morgunmat sem er með stuttan tilla?
You give up?	Gefstu upp?
This morning I had baby food and therapy. Lots of it.	Í morgun fékk ég ungbarnamat og mikla meðferð.
Keith Heading told me that joke!	Keith Heading sagði mér þennan!
How 'd you know where I live?	Hvernig vissirðu hvar ég á heima?
I followed you.	Ég elti þig.
You followed me?	Eltirðu mig?
My dreams need detail.	Til að fylla inn í drauminn.
So, what do you want?	Jæja, hvað viltu?
I brought you something.	Ég kom með dálítið.
Where is it?	Hvar er það?
Go ahead, man.	Gjörðu svo vel, maður.
Hey, fatso!	Heyrðu, hlunkur.
You're gonna have a heart attack!	Þ ú færð hjartaslag!
Give me your wallet! Now!	Láttu mig strax fá veskið þitt.
Here today, gone tomorrow.	Hér í dag, farinn á morgun.
I found this.	Ég fann þetta.
His name was...	Hann hét...
Here, let me see that.	Leyfðu mér að sjá þetta.
Boy, this kid had credit.	Strákurinn hafði lánstraust.
Stealing?	Við að stela?
Man, that's ridiculous.	Fáránlegt.
Don't know what you're talking about.	Um hvað ertu eiginlega að tala?
Oh, no.	Ónei.
No, no.	Nei.
Not one, not two, but three Cartier watches.	Ekki eitt, ekki tvö heldur þrjú Cartier-úr.
Five Italian suits from Elite Wear.	Fimm ítölsk jakkaföt frá Elite Wear.
Flight Limousine Service.	Limúsínuþjónustan.
Let's see. Dinner at Lu Chow's. Yum yum, dim sum.	Kvöldverður á Lu Chow ' s. Namm, namm, dim sum.
Oh, the list goes on and on.	Og listinn er lengri.
You got good taste.	Þ ú ert smekkvís.
I don't know whose list that is, but...	Ég veit ekki hver á listann en...
I love this part. Hey!	Þessi kafli er frábær.
That looks just like you!	Þetta líkist þér.
Wait a minute.	Hægan.
That is you!	Þetta ert þú!
I put the cards there.	Ég setti kortin þarna.
It was just a matter of time.	Það hlaut að koma að þessu.
I'm a good judge of character.	Ég er góður mannþekkjari.
What are you gonna do?	Hvað ætlarðu að gera?
Are you calling the cops?	Hringirðu á lögguna?
No, I hired you!	Nei, ég réð þig.
I do my affirmative action bit.	Ég veiti minnihlutahópum tækifæri.
Besides, it wouldn't benefit either one of us.	Og hvorugur okkar hefði hag af því.
I got something much better in mind.	Ég hef mun betri hugmynd.
Look through returned credit cards and bring me these names.	Líttu á kortin sem hefur verið skilað og láttu mig fá nöfnin.
What if I don't?	En ef ég geri það ekki?
You go to jail for a long time.	Þá verðurðu lengi í fangelsi.
Now, get out of my face.	Láttu mig nú ekki sjá þig.
I hate thieves.	Ég þoli ekki þjófa.
What you all standing around for?	Af hverju standið þið þarna?
It looks like somebody died.	Það er eins og einhver hafi dáið.
It's Chris.	Það er Chris.
He got stabbed to death last night.	Hann var stunginn til bana í gærkvöldi.
I'm sorry to hear that.	Það var leiðinlegt.
Excuse me, everyone.	Afsakið, öll.
Due to an unfortunate episode last night, Chris is no longer with us.	Vegna leiðinda atviks í gærkvöldi er Chris ekki lengur meðal okkar.
I've just been informed that Jonathan Stewart will be his replacement.	Ég var að frétta að Jonathan Stewart kæmi í stað hans.
You're the number one guy.	Þ ú ert aðalgaurinn.
Over?	Yfir?
Over.	Yfir.
What?	Hvað?
This is the easiest shit we ever did!	Þetta er auðveldasta verk sem við höfum unnið.
It's over?	Er það búið?
Are you crazy?	Ertu bilaður?
I don't wanna do it anymore.	Ég vil þetta ekki lengur.
You don't want to do it anymore?!	Viltu ekki gera það lengur?
Come on, man.	Heyrðu nú.
Do you know how much is out there that we didn't get?	Veistu hvað það er mikið sem við náðum ekki?
I saw this four-finger ring that said "Seymour" and "Johnny."	Ég sá fjögurra fingra hring, áletraðan "Seymour" og "Johnny."
They come with thumb attachments.	Þumalfestingar eru á þeim.
Sound like handcuffs.	Lýsing á handjárnum.
Come on, man.	Svona, maður.
I saw a crocodile sweatsuit.	Ég sá svitagalla úr krókódílaskinni.
You gonna play ball in the jungle?	Ætlarðu í boltaleik í frumskóginum?
Why you bullshitting?	Hvað ertu að bulla?
We could get paid!	Við fáum borgað fyrir þetta.
It's not like they're gonna find out...	Enginn mun komast að þessu...
They did find out!	Þeir komust að því.
Now Keith's blackmailing me.	Nú fjárkúgar Keith mig.
So just leave it alone.	Láttu þetta eiga sig.
It's over.	Því er lokið.
I guess you don't want to hear about the mink socks!	Þig langar líklega ekki að heyra um minkaskinnssokkana.
Get that meat out of here!	Burt með þetta kjöt!
I just don't understand this.	Ég skil þetta ekki.
What don't you understand?	Hvað skilurðu ekki?
The whole thing.	Þetta allt.
Could you explain the system again?	Geturðu útskýrt kerfið aftur?
A credit line...	Lánstraustslína...
That part I get.	Ég skil þann hluta.
There's information on everyone's spending patterns.	Það eru upplýsingar um eyðslumynstrið hjá öllum.
Computers reject abnormal purchases.	Tölvur hafna óeðlilegum innkaupum.
"Abnormal purchases."	"Óeðlilegum innkaupum."
I found these receipts on the late Chris Fields.	Ég fann þessar kvittanir á Chris Fields heitnum.
That fat mailroom clerk got into the system.	Feiti póststofustrákurinn komst inn í kerfið.
Ain't that something?	Erðekki einstakt?
You're right on time.	Þ ú ert á réttum tíma.
I like that.	Fínt er.
Here's your cards.	Hér eru kortin þín.
Johnny.	Johnny.
This is great.	Þetta er afbragð.
This is really good.	Þetta er mjög gott.
We got some shopping to do.	Við þurfum að fara í búðir.
You said all I had to do was get you the cards.	Þ ú sagðir að ég þyrfti bara að útvega þér kortin.
Johnny, I lie a lot.	Johnny, ég er mjög lyginn.
Come on.	Svona.
This is gonna be fun.	Þetta verður gaman.
I like that hat.	Fallegt höfuðfat.
Kiss my ass.	Kysstu rassinn á mér.
Don't be sad.	Vertu ekki dapur.
Life's good, you just need direction.	Þ ú þarft bara áætlun.
You're gonna take care of me, right?	Ætlar þú að annast mig?
You with me?	Ertu með mér?
Tom?	Tom?
That stuff doesn't concern you.	Þetta snertir þig ekki.
The only thing that concerns you is this list and this card.	Það eina sem snertir þig er þessi listi og þetta kort.
Be nice.	Vertu góður.
Get some clothes too, will you?	Finndu líka einhver föt.
You're in the big time now.	Þ ú ert með svo um munar.
Charge it.	Láttu skrifa það.
John.	John.
If you fuck me I'll kill you.	Ef þú spillir fyrir mér þá drep ég þig.
You're going out again?	SAMÞ YKKT Til hamingju Ætlarðu aftur út?
I'm supposed to just stay in?	Á ég bara að vera heima?
All you care about is that stupid girl, and that stupid job!	Ray Walsh Þ ú hugsar bara um þessa asnalegu stelpu og asnalega starfið!
We don't hang anymore!	Við gerum ekkert lengur saman.
I took you to the dentist.	Ég fór með þér til tannlæknis.
That was five hours of pain.	Það var fimm stunda sársauki.
That's not my idea of hanging out.	Ég kalla það ekki samveru.
You're whipped. And you're letting her divide us.	Hún stjórnar þér og kemst upp á milli okkar.
I hate that stupid girl.	Ég þoli ekki þessa heimsku stelpu.
Get the door.	Farðu til dyra.
You get it.	Far þú.
Get the door, Dolemite.	Farðu til dyra, þöngulhaus.
Hi, cutie.	Sæll, sæti.
What?	Hvað?
I got my tooth pulled.	Ég lét draga tennurnar úr mér.
Oh, poor baby.	Greyið litla.
Hey, you ready?	Ertu tilbúin?
Yeah.	Já.
Bye.	Bless.
Do you wanna come dancing with us?	Kemurðu með okkur að dansa?
And be a sixth toe?	Og vera sjötta tá?
No.	Nei.
She's got a sister that looks just like her.	Hún á systur sem er alveg eins og hún.
Wait.	Bíðið.
Let me get dressed.	Ég skipti um föt.
You sure they're sisters?	Eru þær örugglega systur?
They got different fathers.	Þær eiga hvor sinn föðurinn.
Who's her father, Godzilla?	Er Godzilla faðir hennar?
Get to know her inner beauty.	Kynnstu innri fegurð hennar.
They're with me.	Þau eru með mér.
She's been following me all night.	Hún hefur elt mig í allt kvöld.
Come on in.	Komið inn fyrir.
She's my cousin. That's my song.	Hún er frænka mín. Þetta er lagið mitt.
I'm going to the bathroom!	Ég ætla á salernið.
